t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   5.800000000e-01   3.364000000e-01   1.000000000e+00   1.056831769e+00   1.021604043e-01   1.042096410e-01   1.208831836e-01     3.797657214e-01     4.095671946e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -3.780443823e+04  2.415573333e+05     3.194167644e+04     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.246510769e-02   1.971862825e-01   2.048141669e-01   0.000000000e+00   0.000000000e+00   5.255344429e-01   1.000000000e-01   1.890000000e-01   2.700000000e-01   0.000000000e+00   0.000000000e+00   4.410000000e-01   
8.238197746e-09   2.448929175e-08   5.799999749e-01   3.363999709e-01   9.999999135e-01   1.056831677e+00   1.021603910e-01   3.005430103e+00   3.486298769e+00     1.095253060e+01     8.579079658e-01    2.941421576e+02   -4.152276714e-04  6.241200388e-01   1.000000000e+00   8.571905133e-02   -7.966021808e+05  7.115054350e+05     8.698235343e+04     3.239780508e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.173279954e-02   1.999240474e-01   2.033574686e-01   5.703491611e-23   8.571132418e-23   5.349856844e-01   8.571905133e-02   1.928148441e-01   2.697455095e-01   4.815113315e-23   4.653985967e-23   4.517205950e-01   
8.460828354e-08   2.515109499e-07   5.799997710e-01   3.363997343e-01   9.999992102e-01   1.056830934e+00   1.021602833e-01   2.393699654e+00   2.776690502e+00     8.723230481e+00     6.817743411e-01    2.952846876e+02   -3.315382286e-04  4.968877176e-01   1.000000000e+00   9.156103560e-02   -6.319477414e+05  5.694530968e+05     6.399121086e+04     2.622868026e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.607585364e-02   1.989817015e-01   2.029615372e-01   8.916438175e-22   0.000000000e+00   5.319809076e-01   9.156103560e-02   1.915116070e-01   2.686670272e-01   7.512139383e-22   0.000000000e+00   4.482603302e-01   
2.659788491e-07   7.906624526e-07   5.799994078e-01   3.363993131e-01   9.999979581e-01   1.056829611e+00   1.021600914e-01   1.715712804e+00   1.990224820e+00     6.252475674e+00     5.003510134e-01    2.967939892e+02   -2.217828706e-04  3.655770207e-01   1.000000000e+00   9.981311125e-02   -4.627057072e+05  3.817052899e+05     8.206934677e+04     1.796864845e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.221831613e-02   1.976557229e-01   2.017623353e-01   1.378592426e-20   6.458518920e-20   5.283636257e-01   9.981311125e-02   1.897420878e-01   2.663870104e-01   1.158458404e-20   3.490588490e-20   4.440577906e-01   
6.460452343e-07   1.920467403e-06   5.799988740e-01   3.363986938e-01   9.999961173e-01   1.056827665e+00   1.021598093e-01   1.182773841e+00   1.372014992e+00     4.310312219e+00     3.630532022e-01    2.980648264e+02   -1.292548799e-04  2.657972661e-01   1.000000000e+00   1.072406276e-01   -3.350765982e+05  2.226417465e+05     1.131705426e+05     1.091525397e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.776758410e-02   1.964650766e-01   2.005002945e-01   7.931154076e-19   1.510784292e-18   5.252670449e-01   1.072406276e-01   1.881742301e-01   2.641243656e-01   6.649690732e-19   8.146830509e-19   4.404607768e-01   
1.361137647e-06   4.046188011e-06   5.799981848e-01   3.363978943e-01   9.999937406e-01   1.056825154e+00   1.021594451e-01   8.043685080e-01   9.330645490e-01     2.931308733e+00     2.678920858e-01    2.990019235e+02   -6.088520253e-05  1.964036706e-01   1.000000001e+00   1.130075119e-01   -2.468874971e+05  1.047312972e+05     1.426566560e+05     5.656063163e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.209190766e-02   1.955368516e-01   1.994784949e-01   2.969490088e-16   2.532379035e-16   5.228927459e-01   1.130075119e-01   1.869604006e-01   2.623226317e-01   2.485382100e-16   1.363204954e-16   4.377094559e-01   
2.603387180e-06   7.738963081e-06   5.799990694e-01   3.363989206e-01   9.999967912e-01   1.056828377e+00   1.021599126e-01   -7.628047918e-01  -8.848521388e-01    -2.779844979e+00    2.038899427e-01    2.997139277e+02   6.401771670e-04   1.496326717e-01   1.000000116e+00   1.175594095e-01   -1.876942812e+05  1.666528729e+04     1.705492212e+05     1.626945084e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.551503225e-02   1.948012399e-01   1.986518694e-01   6.217997259e-13   6.917600129e-14   5.210318585e-01   1.175594095e-01   1.860033198e-01   2.608797089e-01   5.197204186e-13   3.718740446e-14   4.355575619e-01   
4.725000988e-06   1.404578177e-05   5.800001849e-01   3.364002144e-01   1.000000637e+00   1.056832442e+00   1.021605020e-01   -4.021051321e-01  -4.664421019e-01    -1.465371081e+00    1.581874159e-01    3.003451850e+02   4.021300572e-04   1.161923536e-01   9.999948388e-01   1.217212302e-01   -1.454770203e+05  -5.569141999e+04    2.009194209e+05     -1.969335885e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.865233089e-02   1.941276619e-01   1.978789795e-01   7.481968977e-10   2.511788216e-11   5.193410270e-01   1.217212302e-01   1.851303596e-01   2.595425390e-01   6.245919729e-10   1.348604715e-11   4.336058706e-01   
5.852218994e-06   1.739660819e-05   5.800006040e-01   3.364007006e-01   1.000002083e+00   1.056833970e+00   1.021607235e-01   -3.590181691e-01  -4.164615099e-01    -1.308352420e+00    1.449255438e-01    3.005877408e+02   3.637876604e-04   1.064855346e-01   1.000000000e+00   1.233525908e-01   -1.332305742e+05  -8.087840738e+04    2.138877440e+05     -3.357223537e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.988404987e-02   1.938638635e-01   1.975714826e-01   8.125158328e-09   2.248987452e-10   5.186805957e-01   1.233525908e-01   1.847891865e-01   2.590136281e-01   6.779564504e-09   1.206919091e-10   4.328445877e-01   
7.895093896e-06   2.346936354e-05   5.800013154e-01   3.364015258e-01   1.000004536e+00   1.056836562e+00   1.021610994e-01   -3.441583193e-01  -3.992245558e-01    -1.254200932e+00    1.289754900e-01    3.009638060e+02   3.361251434e-04   9.481246144e-02   1.000000000e+00   1.259176238e-01   -1.184973936e+05  -1.166358337e+05    2.349236770e+05     -5.515695170e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.182296751e-02   1.934497368e-01   1.970835113e-01   1.866129466e-07   4.683569623e-09   5.176435930e-01   1.259176238e-01   1.842541955e-01   2.581773862e-01   1.555898590e-07   2.511525877e-09   4.316506364e-01   
