t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   5.800000000e-01   3.364000000e-01   1.000000000e+00   2.700000000e+03   1.162917980e+00   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.238197746e-09   2.448929175e-08   5.799999749e-01   3.363999709e-01   9.999999135e-01   2.696664324e+03   1.268443760e+00   2.186972095e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.460828354e-08   2.515109499e-07   5.799997710e-01   3.363997343e-01   9.999992102e-01   2.667422491e+03   2.275026510e+00   3.922461049e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.659788491e-07   7.906624526e-07   5.799994078e-01   3.363993131e-01   9.999979581e-01   2.608076448e+03   2.275026510e+00   3.922463505e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.460452343e-07   1.920467403e-06   5.799988740e-01   3.363986938e-01   9.999961173e-01   2.514528010e+03   1.942493370e+00   3.349133002e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.361137647e-06   4.046188011e-06   5.799981848e-01   3.363978943e-01   9.999937406e-01   2.398607206e+03   1.932089040e+00   3.331198426e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.603387180e-06   7.738963081e-06   5.799990694e-01   3.363989206e-01   9.999967912e-01   2.278089577e+03   1.921864800e+00   3.313565316e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.725000988e-06   1.404578177e-05   5.800001849e-01   3.364002144e-01   1.000000637e+00   2.161493753e+03   1.901593220e+00   3.278607955e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.852218994e-06   1.739660819e-05   5.800006040e-01   3.364007006e-01   1.000002083e+00   2.119892130e+03   1.891545880e+00   3.261282604e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.895093896e-06   2.346936354e-05   5.800013154e-01   3.364015258e-01   1.000004536e+00   2.062745588e+03   1.881671960e+00   3.244254642e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.095271919e-06   2.703707467e-05   5.800017344e-01   3.364020119e-01   1.000005981e+00   2.036290601e+03   1.871798040e+00   3.227228350e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.018634285e-05   3.028044842e-05   5.800021268e-01   3.364024671e-01   1.000007334e+00   2.015413409e+03   1.871798040e+00   3.227226166e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.111375314e-05   3.303731611e-05   5.800024709e-01   3.364028662e-01   1.000008520e+00   1.999562494e+03   1.862095220e+00   3.210495323e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.141379765e-05   3.392924389e-05   5.800025847e-01   3.364029983e-01   1.000008913e+00   1.994753733e+03   1.862095220e+00   3.210494693e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.217754730e-05   3.619960552e-05   5.800028800e-01   3.364033408e-01   1.000009931e+00   1.983117211e+03   1.862095220e+00   3.210493058e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.266852921e-05   3.765912371e-05   5.800030737e-01   3.364035655e-01   1.000010599e+00   1.976063083e+03   1.862095220e+00   3.210491986e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.296857372e-05   3.855105149e-05   5.800031937e-01   3.364037047e-01   1.000011013e+00   1.971902314e+03   1.862095220e+00   3.210491322e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.335044855e-05   3.968623230e-05   5.800033484e-01   3.364038842e-01   1.000011546e+00   1.966759714e+03   1.862095220e+00   3.210490465e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.397781433e-05   4.155117221e-05   5.800036064e-01   3.364041834e-01   1.000012436e+00   1.958660870e+03   1.852392400e+00   3.193760142e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.435968916e-05   4.268635302e-05   5.800037659e-01   3.364043685e-01   1.000012986e+00   1.953931126e+03   1.852392400e+00   3.193759263e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.485067108e-05   4.414587121e-05   5.800039738e-01   3.364046097e-01   1.000013703e+00   1.948052970e+03   1.852392400e+00   3.193758118e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.539620654e-05   4.576755809e-05   5.800042084e-01   3.364048818e-01   1.000014512e+00   1.941773101e+03   1.852392400e+00   3.193756827e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.599629555e-05   4.755141365e-05   5.800044706e-01   3.364051859e-01   1.000015416e+00   1.935148113e+03   1.852392400e+00   3.193755383e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.637135118e-05   4.866632338e-05   5.800046367e-01   3.364053786e-01   1.000015989e+00   1.931151735e+03   1.842857200e+00   3.177314599e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.666457650e-05   4.953798007e-05   5.800047679e-01   3.364055308e-01   1.000016441e+00   1.928099242e+03   1.842857200e+00   3.177313881e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.726466551e-05   5.132183564e-05   5.800050390e-01   3.364058453e-01   1.000017376e+00   1.922031303e+03   1.842857200e+00   3.177312396e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.772837065e-05   5.270026948e-05   5.800052512e-01   3.364060914e-01   1.000018108e+00   1.917500199e+03   1.842857200e+00   3.177311233e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.811024548e-05   5.383545029e-05   5.800054276e-01   3.364062961e-01   1.000018716e+00   1.913866967e+03   1.842857200e+00   3.177310267e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.865578094e-05   5.545713717e-05   5.800056823e-01   3.364065915e-01   1.000019594e+00   1.908822099e+03   1.842857200e+00   3.177308872e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.906493254e-05   5.667340233e-05   5.800058752e-01   3.364068152e-01   1.000020259e+00   1.905145286e+03   1.833322000e+00   3.160867982e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.950136091e-05   5.797075183e-05   5.800060827e-01   3.364070560e-01   1.000020975e+00   1.901318833e+03   1.833322000e+00   3.160866851e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.991051251e-05   5.918701699e-05   5.800062788e-01   3.364072835e-01   1.000021651e+00   1.897817005e+03   1.834990216e+00   3.163741986e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.015600347e-05   5.991677608e-05   5.800063972e-01   3.364074208e-01   1.000022059e+00   1.895754598e+03   1.834236643e+00   3.162442089e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.061970862e-05   6.129520992e-05   5.800066225e-01   3.364076821e-01   1.000022836e+00   1.891931116e+03   1.832822642e+00   3.160002956e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.102886022e-05   6.251147508e-05   5.800068224e-01   3.364079141e-01   1.000023526e+00   1.888636294e+03   1.831576207e+00   3.157852867e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.146528859e-05   6.380882458e-05   5.800070372e-01   3.364081632e-01   1.000024266e+00   1.885197640e+03   1.833322000e+00   3.160861649e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.187444019e-05   6.502508974e-05   5.800072399e-01   3.364083984e-01   1.000024965e+00   1.882042662e+03   1.833322000e+00   3.160860544e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.222903824e-05   6.607918621e-05   5.800074165e-01   3.364086032e-01   1.000025574e+00   1.879363155e+03   1.823951810e+00   3.144704289e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.267910500e-05   6.741707788e-05   5.800076418e-01   3.364088645e-01   1.000026351e+00   1.876026101e+03   1.826507448e+00   3.149109281e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
