t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   4.680000000e-01   2.190240000e-01   1.000000000e+00   2.700000000e+03   9.383545080e-01   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.460390941e-09   2.493055985e-08   4.679999794e-01   2.190239807e-01   9.999999119e-01   2.697784464e+03   1.149642702e+00   2.456501608e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.579385691e-08   2.547385534e-07   4.679998131e-01   2.190238251e-01   9.999992013e-01   2.678110601e+03   1.868935068e+00   3.993452595e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.750619175e-07   7.992818937e-07   4.679995182e-01   2.190235490e-01   9.999979410e-01   2.636256113e+03   1.868935068e+00   3.993455111e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.291055935e-07   1.959171568e-06   4.679990791e-01   2.190231380e-01   9.999960644e-01   2.563824560e+03   1.619117370e+00   3.459659308e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.328789790e-07   4.259254598e-06   4.679984895e-01   2.190225861e-01   9.999935448e-01   2.461252707e+03   1.692723006e+00   3.616941174e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.838546538e-06   8.394269751e-06   4.679982369e-01   2.190223498e-01   9.999924655e-01   2.344264616e+03   1.558995984e+00   3.331200549e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.389401138e-06   1.547502163e-05   4.679991760e-01   2.190232287e-01   9.999964786e-01   2.226613380e+03   1.550746080e+00   3.313565834e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.449377775e-06   2.031456724e-05   4.679996453e-01   2.190236680e-01   9.999984844e-01   2.173228044e+03   1.534389012e+00   3.278611485e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.734176295e-06   2.618058430e-05   4.680001986e-01   2.190241859e-01   1.000000849e+00   2.123818460e+03   1.526281848e+00   3.261284616e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.713070406e-06   3.064993063e-05   4.680006342e-01   2.190245936e-01   1.000002710e+00   2.093523609e+03   1.526281848e+00   3.261281581e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.957793934e-06   3.176726721e-05   4.680007464e-01   2.190246986e-01   1.000003190e+00   2.086694168e+03   1.518314616e+00   3.244256826e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.233107903e-06   3.302427087e-05   4.680008759e-01   2.190248198e-01   1.000003743e+00   2.079306096e+03   1.518314616e+00   3.244255928e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
