t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   4.680000000e-01   2.190240000e-01   1.000000000e+00   6.880841894e-01   5.367056677e-02   1.042096410e-01   9.754022397e-02     3.064316511e-01     4.095671946e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -3.780443823e+04  2.993659259e+05     3.958583832e+04     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.246510769e-02   1.971862825e-01   2.048141669e-01   0.000000000e+00   0.000000000e+00   5.255344429e-01   1.000000000e-01   1.890000000e-01   2.700000000e-01   0.000000000e+00   0.000000000e+00   4.410000000e-01   
5.460390941e-09   2.493055985e-08   4.679999794e-01   2.190239807e-01   9.999999119e-01   6.880841288e-01   5.367055968e-02   3.722739397e+00   3.484483922e+00     1.094682909e+01     1.062631292e+00    2.941446484e+02   -5.143704662e-04  7.730571743e-01   1.000000000e+00   8.573140292e-02   -9.866922984e+05  8.813957887e+05     1.076398853e+05     3.238443382e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.174199198e-02   1.999220679e-01   2.033575674e-01   3.782144783e-23   5.683331546e-23   5.349783727e-01   8.573140292e-02   1.928120071e-01   2.697443424e-01   3.193020925e-23   3.085942053e-23   4.517122476e-01   
5.579385691e-08   2.547385534e-07   4.679998131e-01   2.190238251e-01   9.999992013e-01   6.880836398e-01   5.367050247e-02   2.958521205e+00   2.769174742e+00     8.699619027e+00     8.427176558e-01    2.952981660e+02   -4.096632161e-04  6.141994249e-01   9.999999999e-01   9.163202592e-02   -7.811125470e+05  7.036569511e+05     7.931151445e+04     2.615547441e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.612862536e-02   1.989702428e-01   2.029532576e-01   5.955885269e-22   1.752740708e-19   5.319478742e-01   9.163202592e-02   1.914961162e-01   2.686498071e-01   5.017743280e-22   9.497317308e-20   4.482220508e-01   
1.750619175e-07   7.992818937e-07   4.679995182e-01   2.190235490e-01   9.999979410e-01   6.880827726e-01   5.367040100e-02   2.117865961e+00   1.982320498e+00     6.227643514e+00     6.178876362e-01    2.968098830e+02   -2.734273900e-04  4.514658168e-01   1.000000000e+00   9.990327173e-02   -5.713850852e+05  4.705972633e+05     1.021115626e+05     1.788099242e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.228554677e-02   1.976412817e-01   2.017475975e-01   9.314241757e-21   4.787963177e-21   5.283255740e-01   9.990327173e-02   1.897229850e-01   2.663601957e-01   7.826724881e-21   2.587643978e-21   4.440135476e-01   
4.291055935e-07   1.959171568e-06   4.679990791e-01   2.190231380e-01   9.999960644e-01   6.880814814e-01   5.367024993e-02   1.452105792e+00   1.359168347e+00     4.269953293e+00     4.464466664e-01    2.980917363e+02   -1.577539238e-04  3.268645043e-01   9.999999999e-01   1.074028431e-01   -4.120265721e+05  2.717310651e+05     1.412014624e+05     1.076491970e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.788903211e-02   1.964390321e-01   2.004719803e-01   5.813714053e-19   1.114455887e-18   5.251999555e-01   1.074028431e-01   1.881400708e-01   2.640741340e-01   4.874133940e-19   6.009354643e-19   4.403829521e-01   
9.328789790e-07   4.259254598e-06   4.679984895e-01   2.190225861e-01   9.999935448e-01   6.880797476e-01   5.367004709e-02   9.681210339e-01   9.061583630e-01     2.846780456e+00     3.248904658e-01    2.990611511e+02   -7.012351040e-05  2.382122313e-01   9.999999982e-01   1.133806451e-01   -2.993890943e+05  1.205876104e+05     1.794054408e+05     5.321999397e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.237218818e-02   1.954766474e-01   1.994114760e-01   3.429028979e-16   2.496352836e-16   5.227396884e-01   1.133806451e-01   1.868819036e-01   2.622051283e-01   2.869682156e-16   1.343661181e-16   4.375323229e-01   
1.838546538e-06   8.394269751e-06   4.679982369e-01   2.190223498e-01   9.999924655e-01   6.880790050e-01   5.366996020e-02   -8.235065942e-01  -7.707992684e-01    -2.421537319e+00    2.439553357e-01    2.997994755e+02   7.214858556e-04   1.790575964e-01   9.999997994e-01   1.181161465e-01   -2.245469479e+05  7.939482277e+03     2.160790782e+05     1.140907470e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.593428711e-02   1.947111075e-01   1.985491195e-01   1.106532348e-12   9.861643237e-14   5.208054858e-01   1.181161465e-01   1.858863779e-01   2.607014637e-01   9.247220781e-13   5.300508794e-14   4.352960120e-01   
3.389401138e-06   1.547502163e-05   4.679991760e-01   2.190232287e-01   9.999964786e-01   6.880817663e-01   5.367028328e-02   -4.707960713e-01  -4.406643468e-01    -1.384387875e+00    1.883724423e-01    3.004530580e+02   4.748809538e-04   1.383838888e-01   1.000009881e+00   1.224445231e-01   -1.732098866e+05  -8.315502221e+04    2.560710635e+05     -2.586162401e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.919830455e-02   1.940106535e-01   1.977430689e-01   1.476345843e-09   4.466091649e-11   5.190479715e-01   1.224445231e-01   1.849789840e-01   2.593084966e-01   1.232182939e-09   2.397374472e-11   4.332679951e-01   
4.449377775e-06   2.031456724e-05   4.679996453e-01   2.190236680e-01   9.999984844e-01   6.880831465e-01   5.367044475e-02   -4.278338955e-01  -4.004522228e-01    -1.258057761e+00    1.689178546e-01    3.007757872e+02   4.287403234e-04   1.241447077e-01   1.000000000e+00   1.246297466e-01   -1.552408065e+05  -1.230021768e+05    2.779799194e+05     -4.435526763e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.084911476e-02   1.936575336e-01   1.973292568e-01   2.852909566e-08   7.326544234e-10   5.181640656e-01   1.246297466e-01   1.845225532e-01   2.585980257e-01   2.379541802e-08   3.930299708e-10   4.322496503e-01   
5.734176295e-06   2.618058430e-05   4.680001986e-01   2.190241859e-01   1.000000849e+00   6.880847733e-01   5.367063509e-02   -4.355519075e-01  -4.076767584e-01    -1.280754309e+00    1.535274555e-01    3.011170034e+02   4.130614865e-04   1.128831704e-01   1.000000000e+00   1.269750702e-01   -1.410206451e+05  -1.612727829e+05    3.020277661e+05     -6.397313452e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.262311115e-02   1.932792521e-01   1.968810872e-01   3.672120705e-07   9.230286767e-09   5.172161731e-01   1.269750702e-01   1.840341333e-01   2.578314013e-01   3.060697203e-07   4.948114859e-09   4.311590841e-01   
