t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
6.652643599e-08   1.357682367e-07   6.999999861e-01   4.899999806e-01   9.999999604e-01   1.539380339e+00   1.795943694e-01   1.390571455e-01   1.946799999e-01     6.116052574e-01     7.081830208e-01    3.000000000e+02   -1.232690376e-20  0.000000000e+00   1.000000000e+00   
9.117362998e-07   1.860686326e-06   6.999769004e-01   4.899676611e-01   9.999340021e-01   1.539278804e+00   1.795766011e-01   6.413256312e+01   8.978262549e+01     2.820604367e+02     1.546182264e-01    3.000000000e+02   -1.311504781e-20  0.000000000e+00   1.000000000e+00   
3.680732362e-06   7.511698698e-06   6.998981339e-01   4.898573978e-01   9.997089751e-01   1.538932402e+00   1.795159861e-01   1.393994838e+01   1.951308771e+01     6.130217301e+01     1.023344428e-01    3.000000000e+02   6.456624517e-22   0.000000000e+00   1.000000000e+00   
1.316999522e-05   2.687754126e-05   6.998476823e-01   4.897867784e-01   9.995648538e-01   1.538710545e+00   1.794771681e-01   2.113821869e+00   2.958706671e+00     9.295051143e+00     5.528967530e-02    3.000000000e+02   -3.479217303e-19  0.000000000e+00   1.000000000e+00   
1.949644758e-05   3.978866853e-05   6.998391655e-01   4.897748575e-01   9.995405256e-01   1.538673094e+00   1.794706157e-01   9.007996406e-01   1.260829737e+00     3.961013441e+00     4.704813961e-02    3.000000000e+02   5.963177910e-21   0.000000000e+00   1.000000000e+00   
4.005050223e-05   8.173571884e-05   6.998312120e-01   4.897637253e-01   9.995178067e-01   1.538638121e+00   1.794644969e-01   6.866888078e-02   9.611325213e-02     3.019486868e-01     3.555879781e-02    3.000000000e+02   -1.624952340e-21  0.000000000e+00   1.000000000e+00   
7.503519662e-05   1.531330543e-04   6.998324130e-01   4.897654064e-01   9.995212375e-01   1.538643403e+00   1.794654209e-01   -9.650439630e-02  -1.350738091e-01    -4.243468862e-01    2.807234573e-02    3.000000000e+02   1.523660686e-22   0.000000000e+00   1.000000000e+00   
2.287999280e-04   4.669386286e-04   6.998506384e-01   4.897909161e-01   9.995732981e-01   1.538723544e+00   1.794794424e-01   -1.144912108e-01  -1.602534939e-01    -5.034511991e-01    1.832020926e-02    3.000000000e+02   -1.198870245e-22  0.000000000e+00   1.000000000e+00   
6.212242317e-04   1.267804555e-03   6.998895911e-01   4.898454397e-01   9.996845708e-01   1.538894835e+00   1.795094128e-01   -8.596822320e-02  -1.203365292e-01    -3.780483560e-01    1.266865115e-02    3.000000000e+02   4.272859536e-23   0.000000000e+00   1.000000000e+00   
1.028966539e-03   2.099931712e-03   6.999220693e-01   4.898909031e-01   9.997773533e-01   1.539037662e+00   1.795344042e-01   -7.372570726e-02  -1.032044992e-01    -3.242264964e-01    1.070098766e-02    3.000000000e+02   1.350427734e-21   0.000000000e+00   1.000000000e+00   
2.029788566e-03   4.142425644e-03   6.999876754e-01   4.899827457e-01   9.999647872e-01   1.539326194e+00   1.795848941e-01   -5.957388381e-02  -8.340196889e-02    -2.620150128e-01    8.753510237e-03    3.000000000e+02   -6.418694322e-22  0.000000000e+00   1.000000000e+00   
5.590537741e-03   1.140926070e-02   7.001662735e-01   4.902328105e-01   1.000475124e+00   1.540111796e+00   1.797223895e-01   -4.424418762e-02  -6.195657594e-02    -1.946423238e-01    7.019529257e-03    3.000000000e+02   -6.032294069e-24  0.000000000e+00   1.000000000e+00   
1.333930128e-02   2.722306384e-02   7.004648081e-01   4.906509474e-01   1.001328464e+00   1.541425412e+00   1.799523759e-01   -3.451356222e-02  -4.835107147e-02    -1.518993709e-01    6.439734230e-03    3.000000001e+02   1.181268593e-22   0.000000000e+00   1.000000000e+00   
2.021805575e-02   4.126133827e-02   7.006868537e-01   4.909620669e-01   1.001963402e+00   1.542402823e+00   1.801235635e-01   -3.034206720e-02  -4.252057520e-02    -1.335823267e-01    6.451392680e-03    3.000000128e+02   2.503685814e-22   0.000000000e+00   1.000000000e+00   
4.726996877e-02   9.646932403e-02   7.013715365e-01   4.919220322e-01   1.003922515e+00   1.545418642e+00   1.806521080e-01   -2.123740207e-02  -2.979061865e-02    -9.358998869e-02    7.212360865e-03    3.000404091e+02   2.770704115e-22   0.000000000e+00   1.000000000e+00   
1.240369781e-01   2.531366900e-01   7.023575089e-01   4.933060703e-01   1.006747082e+00   1.549766727e+00   1.814150496e-01   -5.129992497e-03  -7.206177502e-03    -2.263887430e-02    1.016264561e-02    3.036285231e+02   -4.720000508e-21  0.000000000e+00   1.000000000e+00   
1.790369781e-01   3.653815879e-01   7.023648526e-01   4.933163862e-01   1.006768135e+00   1.549799135e+00   1.814207401e-01   4.877829480e-03   6.852031967e-03     2.152629329e-02     1.242104625e-02    3.092942022e+02   3.802770481e-22   0.000000000e+00   1.000000000e+00   
2.740369781e-01   5.592591390e-01   7.010779181e-01   4.915102472e-01   1.003082137e+00   1.544124982e+00   1.804253213e-01   2.222160834e-02   3.115815783e-02     9.788623973e-02     1.644961983e-02    3.204578105e+02   -2.787963808e-22  0.000000000e+00   1.000000000e+00   
3.740369781e-01   7.633407716e-01   6.979433379e-01   4.871249029e-01   9.941324549e-01   1.530348016e+00   1.780160338e-01   4.042274971e-02   5.642557772e-02     1.772661804e-01     2.069868736e-02    3.315647837e+02   1.558297856e-21   0.000000000e+00   1.000000000e+00   
4.740369781e-01   9.674224043e-01   6.930117469e-01   4.802652813e-01   9.801332272e-01   1.508797880e+00   1.742691090e-01   5.806868340e-02   8.048455944e-02     2.528497007e-01     2.478671761e-02    3.412848128e+02   -2.361251708e-21  0.000000000e+00   1.000000000e+00   
5.240369781e-01   1.069463221e+00   6.898937283e-01   4.759533564e-01   9.713333804e-01   1.495251568e+00   1.719274465e-01   6.651909639e-02   9.178221483e-02     2.883423318e-01     2.673143917e-02    3.456085189e+02   1.623598403e-22   0.000000000e+00   1.000000000e+00   
6.240369781e-01   1.273544853e+00   6.824335209e-01   4.657155104e-01   9.504398171e-01   1.463088426e+00   1.664100977e-01   8.246233294e-02   1.125501204e-01     3.535866314e-01     3.038267463e-02    3.532590385e+02   5.296740277e-23   0.000000000e+00   1.000000000e+00   
7.240369781e-01   1.477626486e+00   6.734489988e-01   4.535335540e-01   9.255786816e-01   1.424817681e+00   1.599236735e-01   9.698362517e-02   1.306270505e-01     4.103769823e-01     3.369448715e-02    3.596938079e+02   1.511599372e-21   0.000000000e+00   1.000000000e+00   
8.240369781e-01   1.681708119e+00   6.630854928e-01   4.396823708e-01   8.973109609e-01   1.381302906e+00   1.526536530e-01   1.100654770e-01   1.459656421e-01     4.585645890e-01     3.667798778e-02    3.650573672e+02   4.097061354e-22   0.000000000e+00   1.000000000e+00   
9.240369781e-01   1.885789751e+00   6.514843282e-01   4.244318299e-01   8.661874080e-01   1.333391919e+00   1.447806564e-01   1.217397969e-01   1.586231396e-01     4.983292902e-01     3.935168948e-02    3.694858769e+02   -1.043737611e-22  0.000000000e+00   1.000000000e+00   
1.024036978e+00   2.089871384e+00   6.387799589e-01   4.080398359e-01   8.327343589e-01   1.281894951e+00   1.364748007e-01   1.321910085e-01   1.688819340e-01     5.305582430e-01     4.176594343e-02    3.731065736e+02   1.685854916e-21   0.000000000e+00   1.000000000e+00   
1.124036978e+00   2.293953017e+00   6.250872720e-01   3.907340976e-01   7.974165256e-01   1.227527370e+00   1.278852892e-01   1.415078788e-01   1.769095478e-01     5.557777359e-01     4.395001672e-02    3.760353301e+02   4.010526004e-21   0.000000000e+00   1.000000000e+00   
1.224036978e+00   2.498034649e+00   6.105072283e-01   3.727190758e-01   7.606511751e-01   1.170931510e+00   1.191436918e-01   1.499649772e-01   1.831094051e-01     5.752551620e-01     4.596993583e-02    3.783763737e+02   1.098126338e-21   0.000000000e+00   1.000000000e+00   
1.324036978e+00   2.702116282e+00   5.951235261e-01   3.541720113e-01   7.228000230e-01   1.112664189e+00   1.103621059e-01   1.576491415e-01   1.876414259e-01     5.894929251e-01     4.784526719e-02    3.802230423e+02   -5.899036139e-21  0.000000000e+00   1.000000000e+00   
1.424036978e+00   2.906197914e+00   5.789885815e-01   3.352277775e-01   6.841383213e-01   1.053149123e+00   1.016268861e-01   1.647809549e-01   1.908125827e-01     5.994554080e-01     4.963474651e-02    3.816524447e+02   -2.436492146e-21  0.000000000e+00   1.000000000e+00   
1.524036978e+00   3.110279547e+00   5.621564254e-01   3.160198466e-01   6.449384624e-01   9.928056285e-01   9.301867720e-02   1.715240486e-01   1.928466921e-01     6.058457512e-01     5.137106126e-02    3.827433658e+02   -8.393271911e-22  0.000000000e+00   1.000000000e+00   
1.589036978e+00   3.242932608e+00   5.508703649e-01   3.034581590e-01   6.193023652e-01   9.533419229e-01   8.752796883e-02   1.758554173e-01   1.937470758e-01     6.086743900e-01     5.250635691e-02    3.833021407e+02   2.659669220e-21   0.000000000e+00   1.000000000e+00   
1.679036978e+00   3.426606078e+00   5.347775380e-01   2.859870152e-01   5.836469698e-01   8.984547060e-01   8.007889928e-02   1.817077179e-01   1.943464120e-01     6.105572603e-01     5.408420520e-02    3.839081585e+02   7.824784853e-22   0.000000000e+00   1.000000000e+00   
1.779036978e+00   3.630687710e+00   5.162787726e-01   2.665437710e-01   5.439668796e-01   8.373719529e-01   7.205289401e-02   1.882891876e-01   1.944194214e-01     6.107866259e-01     5.589335893e-02    3.843924921e+02   -9.355197064e-23  0.000000000e+00   1.000000000e+00   
1.879036978e+00   3.834769343e+00   4.971122105e-01   2.471205498e-01   5.043276527e-01   7.763521039e-01   6.432235175e-02   1.950914676e-01   1.939647014e-01     6.093580811e-01     5.780233699e-02    3.847142783e+02   -1.024523618e-22  0.000000000e+00   1.000000000e+00   
1.979036978e+00   4.038850976e+00   4.772468592e-01   2.277645646e-01   4.648256420e-01   7.155434829e-01   5.691514664e-02   2.022951487e-01   1.930894487e-01     6.066083936e-01     5.985839314e-02    3.849061366e+02   4.039912218e-22   0.000000000e+00   1.000000000e+00   
2.079036978e+00   4.242932608e+00   4.566327589e-01   2.085134765e-01   4.255377072e-01   6.550644061e-01   4.985397784e-02   2.101006446e-01   1.918776740e-01     6.028014911e-01     6.211562924e-02    3.849941727e+02   6.258328313e-24   0.000000000e+00   1.000000000e+00   
2.179036978e+00   4.447014241e+00   4.351892266e-01   1.893896629e-01   3.865095161e-01   5.949851737e-01   4.315518959e-02   2.187464716e-01   1.903922155e-01     5.981347856e-01     6.463916733e-02    3.849980889e+02   -3.907555308e-21  0.000000000e+00   1.000000000e+00   
2.264036978e+00   4.620483629e+00   4.162337598e-01   1.732505428e-01   3.535725363e-01   5.442826325e-01   3.775813442e-02   2.270551520e-01   1.890160392e-01     5.938114001e-01     6.707732572e-02    3.849469653e+02   1.002498965e-20   0.000000000e+00   1.000000000e+00   
2.334036978e+00   4.763340772e+00   4.000813594e-01   1.600650941e-01   3.266634574e-01   5.028593237e-01   3.353077363e-02   2.345066078e-01   1.876434448e-01     5.894992678e-01     6.928267572e-02    3.848736362e+02   1.563177496e-23   0.000000000e+00   1.000000000e+00   
2.434036978e+00   4.967422404e+00   3.760314908e-01   1.413996821e-01   2.885707797e-01   4.442202024e-01   2.784013082e-02   2.468175006e-01   1.856223054e-01     5.831496709e-01     7.292790855e-02    3.847242485e+02   1.904637080e-23   0.000000000e+00   1.000000000e+00   
2.534036978e+00   5.171504037e+00   3.506364956e-01   1.229459520e-01   2.509101062e-01   3.862460997e-01   2.257199647e-02   2.615321259e-01   1.834054162e-01     5.761851083e-01     7.729668589e-02    3.845251440e+02   5.145312992e-23   0.000000000e+00   1.000000000e+00   
2.634036978e+00   5.375585670e+00   3.236102777e-01   1.047236118e-01   2.137216568e-01   3.289989296e-01   1.774457249e-02   2.796572531e-01   1.809999227e-01     5.686280273e-01     8.269107331e-02    3.842758681e+02   9.281914268e-21   0.000000000e+00   1.000000000e+00   
2.689036978e+00   5.487830568e+00   3.079009055e-01   9.480296759e-02   1.934754441e-01   2.978323065e-01   1.528380614e-02   2.915384662e-01   1.795299155e-01     5.640098635e-01     8.622551621e-02    3.841152455e+02   9.444947966e-22   0.000000000e+00   1.000000000e+00   
2.789036978e+00   5.691912200e+00   2.774691023e-01   7.698910275e-02   1.571206179e-01   2.418683996e-01   1.118516795e-02   3.183449642e-01   1.766617829e-01     5.549993594e-01     9.421379730e-02    3.837735752e+02   1.171584287e-21   0.000000000e+00   1.000000000e+00   
2.889036978e+00   5.895993833e+00   2.438848327e-01   5.947981164e-02   1.213873707e-01   1.868613393e-01   7.595441080e-03   3.555011914e-01   1.734026972e-01     5.447606397e-01     1.052961230e-01    3.833475268e+02   6.862560329e-21   0.000000000e+00   1.000000000e+00   
2.892474478e+00   5.903009139e+00   2.426607279e-01   5.888422887e-02   1.201718957e-01   1.849902608e-01   7.481645225e-03   3.569784266e-01   1.732492897e-01     5.442786957e-01     1.057546374e-01    3.833309574e+02   -5.630895472e-22  0.000000000e+00   1.000000000e+00   
2.928724478e+00   5.976988731e+00   2.293835187e-01   5.261679867e-02   1.073812218e-01   1.653005482e-01   6.319536898e-03   3.746524347e-01   1.718781876e-01     5.399712513e-01     1.110162660e-01    3.831455893e+02   -5.391028585e-21  0.000000000e+00   1.000000000e+00   
3.028724478e+00   6.181070363e+00   1.887621170e-01   3.563113680e-02   7.271660571e-02   1.119385176e-01   3.521625258e-03   4.438408007e-01   1.675606583e-01     5.264073330e-01     1.316718410e-01    3.825124881e+02   -8.529221210e-21  0.000000000e+00   1.000000000e+00   
