t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -3.939239686e+04  1.108755193e+04     1.888095745e+06     4.614129865e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
6.652643599e-08   1.357682367e-07   6.999999861e-01   4.899999806e-01   9.999999604e-01   1.539380339e+00   1.795943694e-01   1.390571455e-01   1.946799999e-01     6.116052574e-01     7.081830208e-01    3.414080542e+02   1.037101085e-03   1.187376730e-01   1.000000000e+00   2.244553467e-01   -2.398686218e+05  -1.373918322e+06    1.609609958e+06     4.323116859e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.485466162e-02   1.003753945e-23   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.251453384e-01   2.244553467e-01   9.611071500e-24   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.755446533e-01   
9.117362998e-07   1.860686326e-06   6.999769004e-01   4.899676611e-01   9.999340021e-01   1.539278804e+00   1.795766011e-01   6.413256312e+01   8.978262549e+01     2.820604367e+02     1.546182264e-01    3.299130601e+02   -3.154089134e-02  2.655556496e-02   1.000000000e+00   1.545819949e-01   -5.352418035e+04  -1.016630213e+06    1.130298259e+06     4.414842671e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      4.863195349e-02   0.000000000e+00   0.000000000e+00   1.058152932e-18   0.000000000e+00   9.513680465e-01   1.545819949e-01   0.000000000e+00   0.000000000e+00   1.477194689e-18   0.000000000e+00   8.454180051e-01   
3.680732362e-06   7.511698698e-06   6.998981339e-01   4.898573978e-01   9.997089751e-01   1.538932402e+00   1.795159861e-01   1.393994838e+01   1.951308771e+01     6.130217301e+01     1.023344428e-01    3.203607911e+02   -6.752881219e-03  1.769938238e-02   1.000000000e+00   1.088763240e-01   -3.604029044e+04  -6.914921864e+05    7.371686677e+05     4.484114030e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.302894346e-02   2.117997838e-23   3.522107072e-19   1.126343812e-19   0.000000000e+00   9.669710565e-01   1.088763240e-01   2.229449912e-23   2.087306358e-19   1.630654115e-19   0.000000000e+00   8.911236760e-01   
1.316999522e-05   2.687754126e-05   6.998476823e-01   4.897867784e-01   9.995648538e-01   1.538710545e+00   1.794771681e-01   2.113821869e+00   2.958706671e+00     9.295051143e+00     5.528967530e-02    3.134990206e+02   -9.641615975e-04  9.549406964e-03   1.000000000e+00   8.269454368e-02   -1.970534075e+04  -4.260902175e+05    4.433521947e+05     4.530196028e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.458322400e-02   6.394716978e-23   2.106258274e-20   0.000000000e+00   0.000000000e+00   9.754167760e-01   8.269454368e-02   6.868988412e-23   1.273780260e-20   0.000000000e+00   0.000000000e+00   9.173054563e-01   
1.949644758e-05   3.978866853e-05   6.998391655e-01   4.897748575e-01   9.995405256e-01   1.538673094e+00   1.794706157e-01   9.007996406e-01   1.260829737e+00     3.961013441e+00     4.704813961e-02    3.120562871e+02   -3.755168947e-04  8.118876329e-03   1.000000000e+00   7.780306099e-02   -1.680932252e+04  -3.610864035e+05    3.742893203e+05     4.539508182e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.304274995e-02   3.377825602e-23   1.905059427e-21   0.000000000e+00   0.000000000e+00   9.769572501e-01   7.780306099e-02   3.641942116e-23   1.156420490e-21   0.000000000e+00   0.000000000e+00   9.221969390e-01   
4.005050223e-05   8.173571884e-05   6.998312120e-01   4.897637253e-01   9.995178067e-01   1.538638121e+00   1.794644969e-01   6.866888078e-02   9.611325213e-02     3.019486868e-01     3.555879781e-02    3.102366824e+02   1.948118993e-05   6.127442494e-03   1.000000000e+00   7.200223406e-02   -1.274359738e+04  -2.640759694e+05    2.723353703e+05     4.551070104e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.123073856e-02   1.837073165e-23   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.787692614e-01   7.200223406e-02   1.989485425e-23   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.279977659e-01   
7.503519662e-05   1.531330543e-04   6.998324130e-01   4.897654064e-01   9.995212375e-01   1.538643403e+00   1.794654209e-01   -9.650439630e-02  -1.350738091e-01    -4.243468862e-01    2.807234573e-02    3.093821381e+02   9.004067719e-05   4.833620483e-03   1.000000000e+00   6.939484810e-02   -1.007506915e+04  -2.007899963e+05    2.062091818e+05     4.556430215e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.042145958e-02   6.589740865e-26   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.795785404e-01   6.939484810e-02   7.150595750e-26   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.306051519e-01   
2.287999280e-04   4.669386286e-04   6.998506384e-01   4.897909161e-01   9.995732981e-01   1.538723544e+00   1.794794424e-01   -1.144912108e-01  -1.602534939e-01    -5.034511991e-01    1.832020926e-02    3.088921352e+02   8.427769602e-05   3.152950395e-03   1.000000000e+00   6.793280870e-02   -6.580467298e+03  -1.256885719e+05    1.275917400e+05     4.559483779e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.996907146e-02   5.046103122e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.800309285e-01   6.793280870e-02   5.481649470e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.320671913e-01   
6.212242317e-04   1.267804555e-03   6.998895911e-01   4.898454397e-01   9.996845708e-01   1.538894835e+00   1.795094128e-01   -8.596822320e-02  -1.203365292e-01    -3.780483560e-01    1.266865115e-02    3.091402615e+02   6.165251960e-05   2.180836770e-03   1.000000000e+00   6.867016429e-02   -4.548581847e+03  -8.598005343e+04    8.588140681e+04     4.557939339e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.019710067e-02   1.532868677e-20   0.000000000e+00   0.000000000e+00   4.403489656e-21   9.798028993e-01   6.867016429e-02   1.664245707e-20   0.000000000e+00   0.000000000e+00   4.185041323e-21   9.313298357e-01   
