t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   1.331594172e+00   1.864231840e+00     5.856657054e+00     4.321015175e-01    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
4.034531461e-09   8.233737676e-09   7.000000066e-01   4.900000092e-01   1.000000019e+00   1.539380429e+00   1.795943851e-01   -1.635760021e+00  -2.290064051e+00    -7.194448399e+00    5.906235728e-01    3.000000000e+02   1.968287744e-23   0.000000000e+00   1.000000000e+00   
1.613774080e-06   3.293416489e-06   6.998249880e-01   4.897550138e-01   9.995000281e-01   1.538610753e+00   1.794597087e-01   6.272030921e+01   8.778647928e+01     2.757893584e+02     -3.951364151e-01   3.000000000e+02   -8.040768343e-21  0.000000000e+00   1.000000000e+00   
6.630098131e-06   1.353081251e-05   6.996818014e-01   4.895546232e-01   9.990910678e-01   1.537981208e+00   1.793495770e-01   1.297157573e+01   1.815195094e+01     5.702603573e+01     -4.317110312e-02   3.000000000e+02   4.997521484e-18   0.000000000e+00   1.000000000e+00   
2.557247698e-05   5.218872853e-05   6.995972674e-01   4.894363365e-01   9.988496664e-01   1.537609599e+00   1.792845790e-01   1.126146241e+00   1.575697666e+00     4.950200212e+00     2.034883781e-02    3.000000000e+02   -8.396585460e-19  0.000000000e+00   1.000000000e+00   
5.260685876e-05   1.073609362e-04   6.995904398e-01   4.894267834e-01   9.988301702e-01   1.537579587e+00   1.792793299e-01   -2.110551745e-01  -2.953043647e-01    -9.277260227e-01    2.501663615e-02    3.000000000e+02   -1.114299225e-21  0.000000000e+00   1.000000000e+00   
1.196887234e-04   2.442627007e-04   6.996155442e-01   4.894619097e-01   9.989018566e-01   1.537689940e+00   1.792986307e-01   -4.239899158e-01  -5.932598714e-01    -1.863780854e+00    2.164614888e-02    3.000000000e+02   -6.123138616e-23  0.000000000e+00   1.000000000e+00   
4.223346390e-04   8.619074265e-04   6.997236570e-01   4.896131961e-01   9.992106044e-01   1.538165220e+00   1.793817655e-01   -2.893403705e-01  -4.049166044e-01    -1.272083030e+00    1.426897114e-02    3.000000000e+02   1.740026985e-23   0.000000000e+00   1.000000000e+00   
9.494595558e-04   1.937672563e-03   6.998599264e-01   4.898039165e-01   9.995998297e-01   1.538764386e+00   1.794865883e-01   -2.247430680e-01  -3.145773341e-01    -9.882738418e-01    1.100809387e-02    3.000000000e+02   -3.391790520e-20  0.000000000e+00   1.000000000e+00   
2.131481503e-03   4.349962251e-03   7.000849886e-01   4.901189912e-01   1.000242839e+00   1.539754222e+00   1.796598028e-01   -1.664502649e-01  -2.330586636e-01    -7.321753853e-01    8.637245675e-03    3.000000000e+02   -1.681472193e-23  0.000000000e+00   1.000000000e+00   
