t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
2.691818491e-10   5.493507125e-10   6.999999995e-01   4.899999994e-01   9.999999987e-01   1.539380398e+00   1.795943797e-01   1.701866087e+00   2.382612520e+00     7.485197990e+00     1.519541681e+00    3.000000000e+02   -5.584806422e-22  0.000000000e+00   1.000000000e+00   
3.032745611e-07   6.189276757e-07   6.999997444e-01   4.899996422e-01   9.999992699e-01   1.539379276e+00   1.795941833e-01   3.014375853e-01   4.220124653e-01     1.325791261e+00     8.848987805e-01    3.000000000e+02   -1.199232788e-20  0.000000000e+00   1.000000000e+00   
8.397053561e-07   1.713684400e-06   6.999842967e-01   4.899780156e-01   9.999551338e-01   1.539311334e+00   1.795822936e-01   9.960061457e+01   1.394377323e+02     4.380565553e+02     2.350737225e-01    3.000000000e+02   -1.921449591e-24  0.000000000e+00   1.000000000e+00   
2.216215544e-06   4.522888866e-06   6.999001434e-01   4.898602107e-01   9.997147157e-01   1.538941239e+00   1.795175323e-01   3.540314380e+01   4.955733084e+01     1.556889465e+02     1.625936418e-01    3.000000000e+02   6.117472139e-24   0.000000000e+00   1.000000000e+00   
7.169042722e-06   1.463069943e-05   6.998183949e-01   4.897457858e-01   9.994811955e-01   1.538581763e+00   1.794546366e-01   7.555121691e+00   1.057442627e+01     3.322053988e+01     7.848475041e-02    3.000000000e+02   1.816734429e-19   0.000000000e+00   1.000000000e+00   
2.211675672e-05   4.513623821e-05   6.997735980e-01   4.896830885e-01   9.993532419e-01   1.538384793e+00   1.794201770e-01   9.910285411e-01   1.386991216e+00     4.357361415e+00     4.676664152e-02    3.000000000e+02   -3.386718715e-21  0.000000000e+00   1.000000000e+00   
6.274685798e-05   1.280548122e-04   6.997660327e-01   4.896725005e-01   9.993316336e-01   1.538351530e+00   1.794143579e-01   -1.237072550e-01  -1.731322701e-01    -5.439110680e-01    3.317900350e-02    3.000000000e+02   -5.849441935e-21  0.000000000e+00   1.000000000e+00   
1.043021317e-04   2.128614933e-04   6.997734299e-01   4.896828531e-01   9.993527615e-01   1.538384054e+00   1.794200477e-01   -1.848992716e-01  -2.587751949e-01    -8.129662514e-01    2.801571244e-02    3.000000000e+02   -3.805606018e-22  0.000000000e+00   1.000000000e+00   
1.787327902e-04   3.647607963e-04   6.997882994e-01   4.897036640e-01   9.993952327e-01   1.538449433e+00   1.794314855e-01   -1.941788223e-01  -2.717681357e-01    -8.537847787e-01    2.329629856e-02    3.000000000e+02   6.748893149e-22   0.000000000e+00   1.000000000e+00   
