t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
4.017086218e-04   8.198135139e-04   6.998269703e-01   4.897577883e-01   9.995056904e-01   1.538619470e+00   1.794612337e-01   -1.577629933e-01  -2.208135952e-01    -6.937063685e-01    1.762273637e-02    3.127148536e+02   1.047856528e-04   3.042409243e-03   1.000000000e+00   7.998780326e-02   -6.289186845e+03  -1.442600784e+05    1.411824789e+05     9.202135985e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.372936683e-02   0.000000000e+00   2.305815817e-20   0.000000000e+00   0.000000000e+00   9.762706332e-01   7.998780326e-02   0.000000000e+00   1.397356139e-20   0.000000000e+00   0.000000000e+00   9.200121967e-01   
1.178855749e-03   2.405828060e-03   6.999268089e-01   4.898975378e-01   9.997908935e-01   1.539058506e+00   1.795380514e-01   -1.111159421e-01  -1.555460535e-01    -4.886623391e-01    1.268730787e-02    3.138242652e+02   7.424124124e-05   2.191762102e-03   1.000000000e+00   8.377242403e-02   -4.519264087e+03  -1.001381586e+05    9.534789291e+04     9.194941442e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.492423434e-02   0.000000000e+00   1.132300199e-20   0.000000000e+00   3.839748134e-22   9.750757657e-01   8.377242403e-02   0.000000000e+00   6.842041655e-21   0.000000000e+00   3.607494755e-22   9.162275760e-01   
2.033287745e-03   4.149566826e-03   7.000133166e-01   4.900186434e-01   1.000038048e+00   1.539438970e+00   1.796046299e-01   -9.365922897e-02  -1.311254150e-01    -4.119426405e-01    1.111278833e-02    3.148855522e+02   6.322972849e-05   1.920721741e-03   1.000000000e+00   8.751727247e-02   -3.951211642e+03  -8.521778546e+04    7.988463585e+04     9.187987207e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.611339007e-02   1.158463642e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.738866099e-01   8.751727247e-02   1.239784966e-21   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.124827275e-01   
3.883249597e-03   7.924999177e-03   7.001692154e-01   4.902369302e-01   1.000483531e+00   1.540124739e+00   1.797246550e-01   -7.727604758e-02  -1.082126192e-01    -3.399599696e-01    9.908761400e-03    3.167330753e+02   5.331895425e-05   1.713640191e-03   1.000000000e+00   9.433249622e-02   -3.511888528e+03  -7.194514024e+04    6.620201809e+04     9.175712166e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.829519122e-02   7.724432832e-21   0.000000000e+00   1.159834996e-20   0.000000000e+00   9.717048088e-01   9.433249622e-02   8.223349224e-21   0.000000000e+00   1.698231952e-20   0.000000000e+00   9.056675038e-01   
1.035783449e-02   2.113843773e-02   7.005946710e-01   4.908328930e-01   1.001699782e+00   1.541997011e+00   1.800524814e-01   -5.799374921e-02  -8.126022329e-02    -2.552865205e-01    9.339982155e-03    3.212672145e+02   4.297196684e-05   1.615131149e-03   1.000000000e+00   1.127042985e-01   -3.284105267e+03  -5.800711823e+04    5.208758804e+04     9.144663425e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.429282783e-02   0.000000000e+00   3.063442807e-21   0.000000000e+00   0.000000000e+00   9.657071722e-01   1.127042985e-01   0.000000000e+00   1.810055250e-21   0.000000000e+00   0.000000000e+00   8.872957015e-01   
2.196587966e-02   4.482832583e-02   7.011799001e-01   4.916532523e-01   1.003373984e+00   1.544574245e+00   1.805040692e-01   -4.444883574e-02  -6.233326040e-02    -1.958257129e-01    1.005664663e-02    3.268522788e+02   3.744975260e-05   1.733247483e-03   1.000000000e+00   1.386876125e-01   -3.500859668e+03  -5.030907301e+04    4.466061258e+04     9.104568421e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      4.307645528e-02   0.000000000e+00   1.507991699e-20   7.522052915e-21   0.000000000e+00   9.569235447e-01   1.386876125e-01   0.000000000e+00   8.728538622e-21   1.063619285e-20   0.000000000e+00   8.613123875e-01   
3.657474314e-02   7.464233293e-02   7.017498674e-01   4.924528764e-01   1.005005870e+00   1.547086339e+00   1.809446055e-01   -3.416336451e-02  -4.794827302e-02    -1.506339423e-01    1.136090130e-02    3.321484596e+02   3.446313080e-05   1.944892369e-03   1.000000000e+00   1.668604830e-01   -3.916547161e+03  -4.571577933e+04    4.053237261e+04     9.064600354e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      5.302261116e-02   5.376011709e-20   1.041454072e-19   0.000000000e+00   0.000000000e+00   9.469773888e-01   1.668604830e-01   5.402391214e-20   5.892198665e-20   0.000000000e+00   0.000000000e+00   8.331395170e-01   
9.462002945e-02   1.931021009e-01   7.028358742e-01   4.939782661e-01   1.008118910e+00   1.551878492e+00   1.817859794e-01   -4.681013678e-03  -6.579968682e-03    -2.067158127e-02    1.696950049e-02    3.464302789e+02   2.899696981e-05   2.798919996e-03   1.000000000e+00   2.599749537e-01   -5.691021491e+03  -3.672323067e+04    3.346243480e+04     8.946882811e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.943017577e-02   0.000000000e+00   9.739161672e-20   0.000000000e+00   0.000000000e+00   9.105698242e-01   2.599749537e-01   0.000000000e+00   5.089954196e-20   0.000000000e+00   0.000000000e+00   7.400250463e-01   
1.531072192e-01   3.124637126e-01   7.023544757e-01   4.933018096e-01   1.006738387e+00   1.549753341e+00   1.814126992e-01   2.068708807e-02   2.905933779e-02     9.129260213e-02     2.256420400e-02    3.561417980e+02   2.571850221e-05   3.567669501e-03   1.000000000e+00   3.361512192e-01   -7.417999972e+03  -3.104508826e+04    2.962648591e+04     8.858063504e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.240084265e-01   0.000000000e+00   7.037704343e-20   0.000000000e+00   2.541145997e-21   8.759915735e-01   3.361512192e-01   0.000000000e+00   3.429725683e-20   0.000000000e+00   1.925470304e-21   6.638487808e-01   
2.431072192e-01   4.961371820e-01   6.988364734e-01   4.883724165e-01   9.966784011e-01   1.534267196e+00   1.787003127e-01   5.704011579e-02   7.972342672e-02     2.504585317e-01     3.078727061e-02    3.667991974e+02   2.164008785e-05   4.572475112e-03   1.000000000e+00   4.286848705e-01   -9.890046486e+03  -2.433772008e+04    2.553772580e+04     8.751864915e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.733981778e-01   0.000000000e+00   4.780445011e-21   0.000000000e+00   6.509177416e-21   8.266018222e-01   4.286848705e-01   0.000000000e+00   2.124745058e-21   0.000000000e+00   4.498248564e-21   5.713151295e-01   
