t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   6.790000000e-01   4.610410000e-01   1.000000000e+00   1.448403019e+00   1.639109416e-01   9.328213163e-02   1.266771348e-01     3.979679559e-01     3.666863060e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
1.018078722e-08   2.208217321e-08   6.789999717e-01   4.610409616e-01   9.999999167e-01   1.448402898e+00   1.639109211e-01   2.742039881e+00   3.723690003e+00     1.169831716e+01     7.848524110e-01    3.000000000e+02   -2.153568101e-22  0.000000000e+00   1.000000000e+00   
1.049998446e-07   2.277451347e-07   6.789997401e-01   4.610406471e-01   9.999992346e-01   1.448401910e+00   1.639107534e-01   2.194216499e+00   2.979744865e+00     9.361144578e+00     6.263853888e-01    3.000000000e+02   7.334799633e-21   0.000000000e+00   1.000000000e+00   
3.289120939e-07   7.134118092e-07   6.789993273e-01   4.610400865e-01   9.999980185e-01   1.448400149e+00   1.639104544e-01   1.586614997e+00   2.154621032e+00     6.768941604e+00     4.637177358e-01    3.000000000e+02   -2.357780123e-21  0.000000000e+00   1.000000000e+00   
8.053089504e-07   1.746718731e-06   6.789987070e-01   4.610392442e-01   9.999961916e-01   1.448397502e+00   1.639100052e-01   1.098937483e+00   1.492354261e+00     4.688369181e+00     3.378954719e-01    3.000000000e+02   -1.377990466e-21  0.000000000e+00   1.000000000e+00   
1.777846840e-06   3.856157782e-06   6.789987738e-01   4.610393348e-01   9.999963882e-01   1.448397787e+00   1.639100536e-01   -1.858131764e+00  -2.523338379e+00    -7.927301314e+00    2.471233399e-01    3.000000000e+02   7.993903549e-22   0.000000000e+00   1.000000000e+00   
3.676883079e-06   7.975175916e-06   6.790008795e-01   4.610421943e-01   1.000002590e+00   1.448406771e+00   1.639115785e-01   -6.742104667e-01  -9.155789996e-01    -2.876376259e+00    1.811625294e-01    3.000000000e+02   -1.595712049e-21  0.000000000e+00   1.000000000e+00   
7.225388719e-06   1.567190059e-05   6.790024942e-01   4.610443871e-01   1.000007347e+00   1.448413660e+00   1.639127479e-01   -3.544568071e-01  -4.813541122e-01    -1.512218543e+00    1.365197827e-01    3.000000000e+02   -5.256918977e-23  0.000000000e+00   1.000000000e+00   
9.804083302e-06   2.126510072e-05   6.790033554e-01   4.610455566e-01   1.000009883e+00   1.448417334e+00   1.639133716e-01   -3.262279299e-01  -4.430197180e-01    -1.391787491e+00    1.211336765e-01    3.000000000e+02   -1.440527591e-31  0.000000000e+00   1.000000000e+00   
1.109309073e-05   2.406096363e-05   6.790037747e-01   4.610461261e-01   1.000011119e+00   1.448419123e+00   1.639136753e-01   -3.251420311e-01  -4.415453328e-01    -1.387155574e+00    1.157155687e-01    3.000000000e+02   1.048501589e-25   0.000000000e+00   1.000000000e+00   
1.215462626e-05   2.636343896e-05   6.790041254e-01   4.610466023e-01   1.000012151e+00   1.448420619e+00   1.639139293e-01   -3.337424799e-01  -4.532250414e-01    -1.423848461e+00    1.120018888e-01    3.000000000e+02   1.980783165e-25   0.000000000e+00   1.000000000e+00   
