t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   6.790000000e-01   4.610410000e-01   1.000000000e+00   1.448403019e+00   1.639109416e-01   9.328213163e-02   1.266771348e-01     3.979679559e-01     3.666863060e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -3.384638708e+04  2.063376338e+05     2.982422175e+04     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.487815187e-02   1.765412623e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.585805859e-01   1.000000000e-01   1.890000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.110000000e-01   
1.018078722e-08   2.208217321e-08   6.789999717e-01   4.610409616e-01   9.999999167e-01   1.448402898e+00   1.639109211e-01   2.742039881e+00   3.723690003e+00     1.169831716e+01     7.848524110e-01    2.937864710e+02   -3.767733370e-04  6.347165246e-01   1.000000000e+00   9.339424718e-02   -7.291630753e+05  6.450503074e+05     8.565349157e+04     3.430373109e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.043226598e-02   1.768550404e-01   3.952785807e-68   5.745330384e-23   8.640046953e-23   7.627126936e-01   9.339424718e-02   1.898378189e-01   5.835623187e-68   5.398468551e-23   5.221470522e-23   7.167679340e-01   
1.049998446e-07   2.277451347e-07   6.789997401e-01   4.610406471e-01   9.999992346e-01   1.448401910e+00   1.639107534e-01   2.194216499e+00   2.979744865e+00     9.361144578e+00     6.263853888e-01    2.949704413e+02   -3.025679056e-04  5.072860642e-01   1.000000000e+00   9.997036885e-02   -5.808869725e+05  5.193137255e+05     6.280224535e+04     2.793261930e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.485556521e-02   1.762546819e-01   4.151180746e-63   9.011298565e-22   1.395761999e-21   7.588897528e-01   9.997036885e-02   1.887029784e-01   6.112634132e-63   8.445312927e-22   8.413193875e-22   7.113266528e-01   
3.289120939e-07   7.134118092e-07   6.789993273e-01   4.610400865e-01   9.999980185e-01   1.448400149e+00   1.639104544e-01   1.586614997e+00   2.154621032e+00     6.768941604e+00     4.637177358e-01    2.965550544e+02   -2.041006785e-04  3.761791089e-01   1.000000000e+00   1.093688861e-01   -4.289870740e+05  3.510622448e+05     7.881106711e+04     1.928470579e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.121425283e-02   1.750776007e-01   4.537089551e-57   1.324352886e-20   2.315360324e-20   7.537081464e-01   1.093688861e-01   1.867546827e-01   6.656361978e-57   1.236616140e-20   1.390499814e-20   7.038764312e-01   
8.053089504e-07   1.746718731e-06   6.789987070e-01   4.610392442e-01   9.999961916e-01   1.448397502e+00   1.639100052e-01   1.098937483e+00   1.492354261e+00     4.688369181e+00     3.378954719e-01    2.979160148e+02   -1.195272679e-04  2.744371262e-01   1.000000000e+00   1.180073254e-01   -3.119296959e+05  2.058027411e+05     1.067405838e+05     1.174586622e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.709941723e-02   1.739180983e-01   1.198867869e-49   7.220390771e-19   1.487958048e-18   7.489824845e-01   1.180073254e-01   1.848913939e-01   1.752919231e-49   6.719282424e-19   8.905822597e-19   6.971012806e-01   
1.777846840e-06   3.856157782e-06   6.789987738e-01   4.610393348e-01   9.999963882e-01   1.448397787e+00   1.639100536e-01   -1.858131764e+00  -2.523338379e+00    -7.927301314e+00    2.471233399e-01    2.989743172e+02   1.241798858e-03   2.008654909e-01   1.000000000e+00   1.250999004e-01   -2.277569889e+05  9.230940850e+04     1.344262257e+05     5.811704307e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.196115130e-02   1.729455541e-01   7.303233806e-41   1.436700590e-16   3.504455158e-16   7.450932946e-01   1.250999004e-01   1.833463896e-01   1.064870585e-40   1.333274291e-16   2.091678353e-16   6.915537101e-01   
3.676883079e-06   7.975175916e-06   6.790008795e-01   4.610421943e-01   1.000002590e+00   1.448406771e+00   1.639115785e-01   -6.742104667e-01  -9.155789996e-01    -2.876376259e+00    1.811625294e-01    2.998128131e+02   5.671203566e-04   1.473244259e-01   1.000000005e+00   1.309626919e-01   -1.667463031e+05  4.166754137e+03     1.621975043e+05     1.065092426e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.600034035e-02   1.721310063e-01   2.531496081e-31   7.426058836e-14   2.149309207e-13   7.418686533e-01   1.309626919e-01   1.820625318e-01   3.682624139e-31   6.875592519e-14   1.279887518e-13   6.869747763e-01   
7.225388719e-06   1.567190059e-05   6.790024942e-01   4.610443871e-01   1.000007347e+00   1.448413660e+00   1.639127479e-01   -3.544568071e-01  -4.813541122e-01    -1.512218543e+00    1.365197827e-01    3.005768307e+02   3.508322264e-04   1.110606773e-01   9.999998632e-01   1.364940968e-01   -1.255052661e+05  -6.877134498e+04    1.940796687e+05     -3.294724451e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.982834737e-02   1.713583786e-01   4.169781613e-22   5.715998963e-11   1.899379316e-10   7.388132738e-01   1.364940968e-01   1.808505568e-01   6.052662834e-22   5.280765979e-11   1.128593760e-10   6.826553463e-01   
9.804083302e-06   2.126510072e-05   6.790033554e-01   4.610455566e-01   1.000009883e+00   1.448417334e+00   1.639133716e-01   -3.262279299e-01  -4.430197180e-01    -1.391787491e+00    1.211336765e-01    3.009684618e+02   3.172113223e-04   9.855903119e-02   1.000000000e+00   1.394015732e-01   -1.112918395e+05  -1.013809593e+05    2.124941547e+05     -5.542468759e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.184719670e-02   1.709526942e-01   9.394626727e-19   1.230480696e-09   4.171251927e-09   7.372001037e-01   1.394015732e-01   1.802153443e-01   1.362115740e-18   1.135483677e-09   2.475675227e-09   6.803830788e-01   
1.109309073e-05   2.406096363e-05   6.790037747e-01   4.610461261e-01   1.000011119e+00   1.448419123e+00   1.639136753e-01   -3.251420311e-01  -4.415453328e-01    -1.387155574e+00    1.157155687e-01    3.011445642e+02   3.097946459e-04   9.415646370e-02   1.000000000e+00   1.407250204e-01   -1.062844054e+05  -1.149530296e+05    2.210604798e+05     -6.556062503e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.276769658e-02   1.707683262e-01   1.600329234e-17   4.161195090e-09   1.398144978e-08   7.364639591e-01   1.407250204e-01   1.799268246e-01   2.319084636e-17   3.837929085e-09   8.293774731e-09   6.793481428e-01   
