t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         dummy(8)          NC7H16_w(9)       
0.000000000e+00   0.000000000e+00   3.466405600e-01   9.904016000e-01   3.000000000e+02   3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.500000000e-01   1.000000000e+00   2.997000000e+02   2.997000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   

4.401213747e-05   8.982068871e-05   1.000000000e-13   2.857579701e-13   3.000000000e+02   3.000000000e+02   6.953351319e-21   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.297709841e-02   6.565889000e-02   3.000000000e+02   3.000000000e+02   2.317783773e-21   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   4.465359267e-02   1.276012000e-01   3.000000000e+02   3.000000000e+02   1.176018556e-21   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   6.510313603e-02   1.860374000e-01   3.000000000e+02   3.000000000e+02   7.222725525e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   8.439516137e-02   2.411659000e-01   3.000000000e+02   3.000000000e+02   4.956635159e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.025951787e-01   2.931739000e-01   3.000000000e+02   3.000000000e+02   3.658592679e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.197649885e-01   3.422380000e-01   3.000000000e+02   3.000000000e+02   2.843336844e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.359629619e-01   3.885250000e-01   3.000000000e+02   3.000000000e+02   2.296216470e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.512440405e-01   4.321919000e-01   3.000000000e+02   3.000000000e+02   1.910215719e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.656601563e-01   4.733871000e-01   3.000000000e+02   3.000000000e+02   1.627038662e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.792602669e-01   5.122505000e-01   3.000000000e+02   3.000000000e+02   1.412683790e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   1.920905652e-01   5.489141000e-01   3.000000000e+02   3.000000000e+02   1.246207944e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.041945846e-01   5.835023000e-01   3.000000000e+02   3.000000000e+02   1.114124303e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.156135137e-01   6.161328000e-01   3.000000000e+02   3.000000000e+02   1.007418216e-22   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.263860566e-01   6.469162000e-01   3.000000000e+02   3.000000000e+02   9.198741026e-23   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   2.365488528e-01   6.759572000e-01   3.000000000e+02   3.000000000e+02   8.470876252e-23   0.000000000e+00   1.000000000e+00   
