t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   4.171091092e+00   5.839527529e+00     1.834541678e+01     2.580268696e+00    3.000000000e+02   1.148129048e-19   0.000000000e+00   1.000000000e+00   
1.308952267e-07   2.671331157e-07   6.999995997e-01   4.899994395e-01   9.999988562e-01   1.539378640e+00   1.795940719e-01   2.243283199e+00   3.140594682e+00     9.866469181e+00     1.799646377e+00    3.000000000e+02   -8.834114838e-21  0.000000000e+00   1.000000000e+00   
7.023317438e-07   1.433330089e-06   6.999991292e-01   4.899987809e-01   9.999975121e-01   1.539376570e+00   1.795937098e-01   3.677142679e-02   5.147993347e-02     1.617289808e-01     8.465598869e-01    3.000000000e+02   1.900356533e-21   0.000000000e+00   1.000000000e+00   
1.345450654e-06   2.745817660e-06   6.999573100e-01   4.899402358e-01   9.998780322e-01   1.539192645e+00   1.795615239e-01   9.436269912e+01   1.320997221e+02     4.150035164e+02     2.468955784e-01    3.000000000e+02   -8.161793870e-24  0.000000000e+00   1.000000000e+00   
3.921345552e-06   8.002746024e-06   6.998497770e-01   4.897897104e-01   9.995708376e-01   1.538719756e+00   1.794787797e-01   2.281163485e+01   3.192943513e+01     1.003092788e+02     1.342243932e-01    3.000000000e+02   5.936837426e-24   0.000000000e+00   1.000000000e+00   
1.161638568e-05   2.370690954e-05   6.997699953e-01   4.896780464e-01   9.993429517e-01   1.538368953e+00   1.794174058e-01   4.490098049e+00   6.284071782e+00     1.974199375e+01     6.400395470e-02    3.000000000e+02   -2.153344749e-19  0.000000000e+00   1.000000000e+00   
3.247679054e-05   6.627916436e-05   6.997355570e-01   4.896298498e-01   9.992445914e-01   1.538217539e+00   1.793909177e-01   4.032957294e-01   5.644007237e-01     1.773117167e+00     4.392346117e-02    3.000000000e+02   4.096585050e-20   0.000000000e+00   1.000000000e+00   
5.048102058e-05   1.030224910e-04   6.997343241e-01   4.896281243e-01   9.992410699e-01   1.538212118e+00   1.793899695e-01   -8.024956029e-02  -1.123067436e-01    -3.528220408e-01    3.899474938e-02    3.000000000e+02   1.748966541e-22   0.000000000e+00   1.000000000e+00   
1.306795660e-04   2.666929918e-04   6.997529921e-01   4.896542500e-01   9.992943877e-01   1.538294195e+00   1.794043276e-01   -2.753081082e-01  -3.852953449e-01    -1.210441025e+00    2.952386826e-02    3.000000000e+02   9.979061932e-22   0.000000000e+00   1.000000000e+00   
3.690509736e-04   7.531652522e-04   6.998118701e-01   4.897366535e-01   9.994625581e-01   1.538553073e+00   1.794496172e-01   -2.138720984e-01  -2.993404663e-01    -9.404058098e-01    2.128512424e-02    3.000000000e+02   -5.301077970e-22  0.000000000e+00   1.000000000e+00   
5.994269742e-04   1.223320356e-03   6.998588238e-01   4.898023732e-01   9.995966800e-01   1.538759537e+00   1.794857400e-01   -1.890388287e-01  -2.646009846e-01    -8.312685094e-01    1.851026422e-02    3.000000000e+02   2.794915156e-21   0.000000000e+00   1.000000000e+00   
1.387862792e-03   2.832373045e-03   6.999873696e-01   4.899823176e-01   9.999639134e-01   1.539324849e+00   1.795846587e-01   -1.452235535e-01  -2.033093065e-01    -6.387150236e-01    1.508951013e-02    3.000000000e+02   -4.588266334e-21  0.000000000e+00   1.000000000e+00   
2.953679307e-03   6.027916954e-03   7.001874538e-01   4.902624705e-01   1.000535654e+00   1.540204976e+00   1.797387001e-01   -1.153352800e-01  -1.615126321e-01    -5.074068983e-01    1.337613710e-02    3.000000000e+02   -6.602551077e-22  0.000000000e+00   1.000000000e+00   
5.038496563e-03   1.028264605e-02   7.004082830e-01   4.905717629e-01   1.001166863e+00   1.541176646e+00   1.799088148e-01   -9.840291374e-02  -1.378444317e-01    -4.330510540e-01    1.289413456e-02    3.000000000e+02   3.361425319e-21   0.000000000e+00   1.000000000e+00   
1.287028290e-02   2.626588347e-02   7.010597116e-01   4.914847193e-01   1.003030039e+00   1.544044783e+00   1.804112651e-01   -7.220579275e-02  -1.012411445e-01    -3.180584357e-01    1.368735983e-02    3.000000001e+02   3.041463079e-23   0.000000000e+00   1.000000000e+00   
3.547292366e-02   7.239372175e-02   7.022780834e-01   4.931945064e-01   1.006519401e+00   1.549416238e+00   1.813535110e-01   -3.899727790e-02  -5.477386717e-02    -1.720771787e-01    1.808478703e-02    3.000083907e+02   -1.686925082e-22  0.000000000e+00   1.000000000e+00   
5.986610920e-02   1.221757331e-01   7.029055212e-01   4.940761717e-01   1.008318718e+00   1.552186071e+00   1.818400266e-01   -1.352057036e-02  -1.900736712e-02    -5.971340490e-02    2.289798810e-02    3.003315615e+02   -1.423076111e-22  0.000000000e+00   1.000000000e+00   
1.411711591e-01   2.881044064e-01   7.011071384e-01   4.915512196e-01   1.003165754e+00   1.544253700e+00   1.804478821e-01   5.502249488e-02   7.715332787e-02     2.423843280e-01     3.739108612e-02    3.096488165e+02   -9.776444258e-22  0.000000000e+00   1.000000000e+00   
1.886711591e-01   3.850431819e-01   6.976751406e-01   4.867506018e-01   9.933685752e-01   1.529172115e+00   1.778108951e-01   8.892089628e-02   1.240757976e-01     3.897956143e-01     4.474161938e-02    3.189340829e+02   -1.938994513e-23  0.000000000e+00   1.000000000e+00   
2.836711591e-01   5.789207329e-01   6.863570197e-01   4.710859585e-01   9.613999152e-01   1.479960186e+00   1.692968438e-01   1.475778520e-01   2.025821893e-01     6.364307176e-01     5.745994715e-02    3.381164297e+02   2.770631018e-22   0.000000000e+00   1.000000000e+00   
3.836711591e-01   7.830023656e-01   6.689355019e-01   4.474747057e-01   9.132136851e-01   1.405783248e+00   1.567297204e-01   1.993954622e-01   2.667654072e-01     8.380682434e-01     6.863886359e-02    3.555624464e+02   4.175981546e-24   0.000000000e+00   1.000000000e+00   
4.761711591e-01   9.717778758e-01   6.485633949e-01   4.206344772e-01   8.584377086e-01   1.321462184e+00   1.428420000e-01   2.401376356e-01   3.114889604e-01     9.785714298e-01     7.742882989e-02    3.685403320e+02   -9.119757458e-22  0.000000000e+00   1.000000000e+00   
5.336711591e-01   1.089124815e+00   6.340960763e-01   4.020778340e-01   8.205670081e-01   1.263164769e+00   1.334946373e-01   2.626547492e-01   3.330966918e-01     1.046454120e+00     8.232695377e-02    3.751838759e+02   -3.251899418e-21  0.000000000e+00   1.000000000e+00   
6.336711591e-01   1.293206447e+00   6.060370937e-01   3.672809589e-01   7.495529773e-01   1.153847162e+00   1.165456968e-01   2.977453466e-01   3.608894490e-01     1.133767642e+00     9.007550089e-02    3.844631554e+02   -3.546660178e-22  0.000000000e+00   1.000000000e+00   
7.336711591e-01   1.497288080e+00   5.746779541e-01   3.302547509e-01   6.739892876e-01   1.037525899e+00   9.937387686e-02   3.288983158e-01   3.780212225e-01     1.187588695e+00     9.717593738e-02    3.912559354e+02   -5.435628291e-21  0.000000000e+00   1.000000000e+00   
8.336711591e-01   1.701369713e+00   5.403380290e-01   2.919651856e-01   5.958473175e-01   9.172356822e-01   8.260288677e-02   3.576689542e-01   3.865242755e-01     1.214301824e+00     1.040252957e-01    3.959976818e+02   5.288751079e-21   0.000000000e+00   1.000000000e+00   
9.336711591e-01   1.905451345e+00   5.031818157e-01   2.531919397e-01   5.167182442e-01   7.954259377e-01   6.670731126e-02   3.855009549e-01   3.879541409e-01     1.218793879e+00     1.109921186e-01    3.990756995e+02   1.540735833e-21   0.000000000e+00   1.000000000e+00   
9.986711591e-01   2.038104406e+00   4.775153332e-01   2.280208935e-01   4.653487622e-01   7.163487638e-01   5.701125311e-02   4.041253676e-01   3.859521191e-01     1.212504342e+00     1.158600233e-01    4.003471607e+02   2.475095786e-21   0.000000000e+00   1.000000000e+00   
1.088671159e+00   2.221777876e+00   4.399099431e-01   1.935207580e-01   3.949403225e-01   6.079633917e-01   4.457485684e-02   4.319193208e-01   3.800112076e-01     1.193840418e+00     1.233817644e-01    4.013515982e+02   1.422239069e-21   0.000000000e+00   1.000000000e+00   
1.188671159e+00   2.425859508e+00   3.949576862e-01   1.559915739e-01   3.183501508e-01   4.900619826e-01   3.225895779e-02   4.683946124e-01   3.699921047e-01     1.162364478e+00     1.335869462e-01    4.016531042e+02   -6.042808698e-22  0.000000000e+00   1.000000000e+00   
1.258671159e+00   2.568716651e+00   3.610905059e-01   1.303863535e-01   2.660945989e-01   4.096208101e-01   2.465169759e-02   5.001482917e-01   3.611975994e-01     1.134735725e+00     1.426533569e-01    4.014666988e+02   -4.455165609e-22  0.000000000e+00   1.000000000e+00   
1.338671159e+00   2.731981957e+00   3.192823449e-01   1.019412158e-01   2.080432975e-01   3.202577746e-01   1.704210888e-02   5.473585486e-01   3.495238418e-01     1.098061534e+00     1.562685945e-01    4.009335033e+02   6.776359211e-22   0.000000000e+00   1.000000000e+00   
