t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -3.939239686e+04  1.108755193e+04     1.239822528e+06     2.104309076e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
2.651397197e-07   5.411014687e-07   7.000000468e-01   4.900000655e-01   1.000000134e+00   1.539380606e+00   1.795944161e-01   -2.094918546e-01  -2.932886160e-01    -9.213933613e-01    3.255057804e-01    3.243639826e+02   6.015544128e-04   5.621025718e-02   1.000000000e+00   1.266384239e-01   -1.138234968e+05  -8.445998039e+05    9.562820667e+05     1.946004685e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.895824742e-02   2.706541406e-23   8.869927465e-19   0.000000000e+00   0.000000000e+00   9.610417526e-01   1.266384239e-01   2.809404025e-23   5.183594584e-19   0.000000000e+00   0.000000000e+00   8.733615761e-01   
1.879751906e-06   3.836228380e-06   6.999397320e-01   4.899156285e-01   9.998278132e-01   1.539115339e+00   1.795479964e-01   1.970929528e+01   2.759063771e+01     8.667854475e+01     1.094387383e-01    3.163817598e+02   -9.602480980e-03  1.892507287e-02   1.000000000e+00   9.299667881e-02   -3.881117965e+04  -5.715093013e+05    6.285542367e+05     2.001379592e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.786573809e-02   5.041052888e-24   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.721342619e-01   9.299667881e-02   5.372192686e-24   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.070033212e-01   
7.194140064e-06   1.468191850e-05   6.998950824e-01   4.898531264e-01   9.997002579e-01   1.538918983e+00   1.795136381e-01   3.504969005e+00   4.906221141e+00     1.541334829e+01     6.838654342e-02    3.106461742e+02   -1.634210505e-03  1.178847675e-02   1.000000000e+00   7.326829297e-02   -2.449151300e+04  -3.576540892e+05    3.837722679e+05     2.038665039e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.162485489e-02   0.000000000e+00   0.000000000e+00   2.506190309e-20   0.000000000e+00   9.783751451e-01   7.326829297e-02   0.000000000e+00   0.000000000e+00   3.729314614e-20   0.000000000e+00   9.267317070e-01   
2.548447073e-05   5.200912393e-05   6.998719318e-01   4.898207209e-01   9.996341244e-01   1.538817178e+00   1.794958252e-01   3.739173877e-01   5.233885690e-01     1.644273683e+00     3.942433151e-02    3.072847522e+02   -1.261799305e-04  6.773399244e-03   1.000000000e+00   6.329990235e-02   -1.419895447e+04  -2.092956637e+05    2.218359841e+05     2.059578228e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.854214066e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.814578593e-01   6.329990235e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.367000977e-01   
7.886243361e-05   1.609437421e-04   6.998684260e-01   4.898158137e-01   9.996241096e-01   1.538801762e+00   1.794931278e-01   -4.205915765e-02  -5.887175292e-02    -1.849510665e-01    2.484735534e-02    3.060243558e+02   5.807342979e-05   4.262536406e-03   1.000000000e+00   5.984663757e-02   -8.967691845e+03  -1.268141732e+05    1.336719011e+05     2.067244987e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.748501360e-02   0.000000000e+00   0.000000000e+00   3.132140681e-20   0.000000000e+00   9.825149864e-01   5.984663757e-02   0.000000000e+00   0.000000000e+00   4.708332732e-20   0.000000000e+00   9.401533624e-01   
1.342010510e-04   2.738796960e-04   6.998716087e-01   4.898202686e-01   9.996332012e-01   1.538815757e+00   1.794955766e-01   -5.850957740e-02  -8.189838411e-02    -2.572913619e-01    1.999150003e-02    3.058032203e+02   5.894454102e-05   3.428564972e-03   1.000000000e+00   5.925622363e-02   -7.217798867e+03  -1.008958564e+05    1.059843781e+05     2.068580384e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.730482376e-02   0.000000000e+00   2.680885155e-20   1.651633578e-21   0.000000000e+00   9.826951762e-01   5.925622363e-02   0.000000000e+00   1.650402503e-20   2.483891373e-21   0.000000000e+00   9.407437764e-01   
3.691056431e-04   7.532768226e-04   6.998853434e-01   4.898394939e-01   9.996724366e-01   1.538876156e+00   1.795061444e-01   -5.333113716e-02  -7.465136249e-02    -2.345241720e-01    1.321235934e-02    3.057236264e+02   4.622180044e-05   2.265705476e-03   1.000000000e+00   5.904469915e-02   -4.770862753e+03  -6.651870421e+04    6.916435753e+04     2.069060328e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.724030705e-02   4.399115966e-22   1.043905969e-21   3.239659939e-21   9.310762816e-22   9.827596929e-01   5.904469915e-02   4.810993472e-22   6.427501288e-22   4.872899434e-21   8.913430755e-22   9.409553009e-01   
1.018749319e-03   2.079080243e-03   6.999144931e-01   4.898802976e-01   9.997557094e-01   1.539004344e+00   1.795285742e-01   -3.895885675e-02  -5.453573694e-02    -1.713290705e-01    8.974401604e-03    3.060292003e+02   3.275525539e-05   1.539557425e-03   1.000000000e+00   5.986013490e-02   -3.238937168e+03  -4.571800849e+04    4.684878492e+04     2.067215699e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.748913475e-02   4.933450146e-21   5.436295681e-21   0.000000000e+00   1.288909201e-20   9.825108652e-01   5.986013490e-02   5.392045527e-21   3.345163204e-21   0.000000000e+00   1.233148574e-20   9.401398651e-01   
2.581919388e-03   5.269223242e-03   6.999665372e-01   4.899531532e-01   9.999043942e-01   1.539233227e+00   1.795686253e-01   -2.927846762e-02  -4.098789518e-02    -1.287672704e-01    6.609043700e-03    3.067177285e+02   2.442063467e-05   1.134731968e-03   1.000000000e+00   6.172968209e-02   -2.382538683e+03  -3.396855131e+04    3.425734307e+04     2.063039028e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.806077618e-02   0.000000000e+00   6.950899094e-21   3.321633906e-21   7.656174317e-21   9.819392238e-01   6.172968209e-02   0.000000000e+00   4.271136856e-21   4.986105921e-21   7.314643367e-21   9.382703179e-01   
