t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         vTh[m/s](8)       divQr[W/m3](9)    rHeat[W/m3](10)    rho[kg/m3](11)    MW[kg/kmol](12)    phi[-](13)        Cp[J/kg/K](14)    lambda[W/m/K](15)    dummy[-](16)      D_NC7H16[m2/s](17)    D_O2[m2/s](18)    D_H2O[m2/s](19)    D_CO2[m2/s](20)    D_CO[m2/s](21)    D_N2[m2/s](22)    W_NC7H16(23)      W_O2(24)          W_H2O(25)         W_CO2(26)         W_CO(27)          W_N2(28)          X_NC7H16(29)      X_O2(30)          X_H2O(31)         X_CO2(32)         X_CO(33)          X_N2(34)          
0.000000000e+00   0.000000000e+00   3.857980000e-01   1.102280000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.894772000e-01   1.112792000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.931746000e-01   1.123356000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.968902000e-01   1.133972000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.006247000e-01   1.144642000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.043777500e-01   1.155365000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.081497000e-01   1.166142000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.119405500e-01   1.176973000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.157503000e-01   1.187858000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.195789500e-01   1.198797000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.234268500e-01   1.209791000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   4.272940000e-01   1.220840000e+00   5.110000000e+02   5.110000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   1.336185250e+01   2.801399994e+01    0.000000000e+00   1.058152712e+03   3.975072147e-02      0.000000000e+00   9.293336118e-07       2.648979023e-06   3.150169566e-06    2.068154975e-06    2.617380376e-06   3.010960146e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
