t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   1.331594172e+00   1.864231840e+00     5.856657054e+00     4.321015175e-01    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -1.575695875e+05  1.108755193e+04     1.556592396e+06     3.170213180e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
9.274297675e-07   1.892713811e-06   6.999664174e-01   4.899529855e-01   9.999040520e-01   1.539232700e+00   1.795685331e-01   3.637961387e+01   5.092901597e+01     1.599982224e+02     -2.598795584e-01   3.352685057e+02   -1.799716142e-02  -1.228807669e-02  1.000000000e+00   5.141856408e-02   8.906755106e+04   -1.182385263e+06    1.222219286e+06     2.929362789e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.492791234e-02   8.673218418e-19   1.173341171e-18   1.156287127e-19   0.000000000e+00   9.850720877e-01   5.141856408e-02   9.539697219e-19   7.265910625e-19   1.749196760e-19   0.000000000e+00   9.485814359e-01   
7.275192685e-06   1.484733201e-05   6.998730984e-01   4.898223538e-01   9.996374568e-01   1.538822308e+00   1.794967228e-01   6.156587527e+00   8.617659976e+00     2.707317727e+01     -1.317752669e-02   3.234897355e+02   -2.997045128e-03  -6.095595055e-04  1.000000000e+00   3.281579928e-02   4.615167945e+03   -7.698560397e+05    7.855692185e+05     3.018176810e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.396355813e-03   0.000000000e+00   0.000000000e+00   2.171504920e-20   0.000000000e+00   9.906036442e-01   3.281579928e-02   0.000000000e+00   0.000000000e+00   3.330707199e-20   0.000000000e+00   9.671842007e-01   
3.135172511e-05   6.398311247e-05   6.998295900e-01   4.897614551e-01   9.995131736e-01   1.538630989e+00   1.794632491e-01   2.972370014e-01   4.160304976e-01     1.306998355e+00     1.970021164e-02    3.163312539e+02   -1.139313729e-04  8.966351108e-04   1.000000000e+00   2.442357545e-02   -6.987062631e+03  -4.489938759e+05    4.541171165e+05     3.067621005e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.950317781e-03   4.673500582e-19   0.000000000e+00   9.711985493e-21   0.000000000e+00   9.930496822e-01   2.442357545e-02   5.244212976e-19   0.000000000e+00   1.498872566e-20   0.000000000e+00   9.755764246e-01   
6.132128503e-05   1.251454796e-04   6.998301103e-01   4.897621833e-01   9.995146598e-01   1.538633277e+00   1.794636493e-01   -1.742655932e-01  -2.439126187e-01    -7.662740909e-01    1.878066617e-02    3.146437956e+02   1.125494391e-04   8.512806727e-04   1.000000000e+00   2.272742438e-02   -6.680342893e+03  -3.374342455e+05    3.403533905e+05     3.078798315e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.459602287e-03   1.850902291e-20   3.668358441e-20   0.000000000e+00   0.000000000e+00   9.935403977e-01   2.272742438e-02   2.079511728e-20   2.320390507e-20   0.000000000e+00   0.000000000e+00   9.772725756e-01   
1.895838421e-04   3.869058001e-04   6.998590034e-01   4.898026247e-01   9.995971933e-01   1.538760327e+00   1.794858782e-01   -2.149276082e-01  -3.008380434e-01    -9.451105870e-01    1.304713212e-02    3.134481771e+02   1.235288596e-04   5.896416616e-04   1.000000000e+00   2.158026563e-02   -4.650425780e+03  -2.039457179e+05    2.046640020e+05     3.086609708e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.128406997e-03   4.806590938e-20   0.000000000e+00   3.696780209e-21   0.000000000e+00   9.938715930e-01   2.158026563e-02   5.404802006e-20   0.000000000e+00   5.717220237e-21   0.000000000e+00   9.784197344e-01   
6.555363915e-04   1.337829370e-03   6.999400934e-01   4.899161344e-01   9.998288456e-01   1.539116929e+00   1.795482745e-01   -1.409976767e-01  -1.973798540e-01    -6.200870993e-01    8.093046164e-03    3.133838587e+02   8.033489735e-05   3.656917477e-04   1.000000000e+00   2.151995978e-02   -2.884944176e+03  -1.194889548e+05    1.187316881e+05     3.087027397e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.111011526e-03   3.175828633e-20   1.192503035e-21   0.000000000e+00   0.000000000e+00   9.938889885e-01   2.151995978e-02   3.571238474e-20   7.549752577e-22   0.000000000e+00   0.000000000e+00   9.784800402e-01   
1.993270678e-03   4.067899343e-03   7.000904096e-01   4.901265816e-01   1.000258330e+00   1.539778068e+00   1.796639764e-01   -9.326712414e-02  -1.305908383e-01    -4.102632181e-01    5.402112503e-03    3.141864576e+02   5.322201895e-05   2.445879358e-04   1.000000000e+00   2.228301730e-02   -1.923057794e+03  -7.673910354e+04    7.521350482e+04     3.081796803e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.331231853e-03   0.000000000e+00   6.964659965e-21   0.000000000e+00   0.000000000e+00   9.936687681e-01   2.228301730e-02   0.000000000e+00   4.406873366e-21   0.000000000e+00   0.000000000e+00   9.777169827e-01   
3.393356315e-03   6.925216970e-03   7.002080193e-01   4.902912703e-01   1.000594429e+00   1.540295453e+00   1.797545381e-01   -7.677655757e-02  -1.075191226e-01    -3.377812857e-01    4.550597835e-03    3.149273100e+02   4.397475758e-05   2.064108798e-04   1.000000000e+00   2.300657059e-02   -1.617873300e+03  -6.323696278e+04    6.147708339e+04     3.076932906e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.540278578e-03   7.561168493e-21   0.000000000e+00   0.000000000e+00   1.116106075e-20   9.934597214e-01   2.300657059e-02   8.493329928e-21   0.000000000e+00   0.000000000e+00   1.097450208e-20   9.769934294e-01   
9.727776504e-03   1.985260511e-02   7.006033733e-01   4.908450867e-01   1.001724667e+00   1.542035318e+00   1.800591910e-01   -5.361528930e-02  -7.512610509e-02    -2.360156199e-01    3.456244013e-03    3.173978622e+02   3.114559736e-05   1.577066092e-04   1.000000000e+00   2.555737112e-02   -1.223557165e+03  -4.470981243e+04    4.266493381e+04     3.060463169e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.279018867e-03   2.082441930e-21   0.000000000e+00   0.000000000e+00   2.095662580e-20   9.927209811e-01   2.555737112e-02   2.334799940e-21   0.000000000e+00   0.000000000e+00   2.056782683e-20   9.744426289e-01   
