t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   1.331594172e+00   1.864231840e+00     5.856657054e+00     4.321015175e-01    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
9.274297675e-07   1.892713811e-06   6.999664174e-01   4.899529855e-01   9.999040520e-01   1.539232700e+00   1.795685331e-01   3.637961387e+01   5.092901597e+01     1.599982224e+02     -2.598795584e-01   3.000000000e+02   -5.361836058e-21  0.000000000e+00   1.000000000e+00   
7.275192685e-06   1.484733201e-05   6.998730984e-01   4.898223538e-01   9.996374568e-01   1.538822308e+00   1.794967228e-01   6.156587527e+00   8.617659976e+00     2.707317727e+01     -1.317752669e-02   3.000000000e+02   -1.058583453e-17  0.000000000e+00   1.000000000e+00   
3.135172511e-05   6.398311247e-05   6.998295900e-01   4.897614551e-01   9.995131736e-01   1.538630989e+00   1.794632491e-01   2.972370014e-01   4.160304976e-01     1.306998355e+00     1.970021164e-02    3.000000000e+02   -1.037326395e-18  0.000000000e+00   1.000000000e+00   
6.132128503e-05   1.251454796e-04   6.998301103e-01   4.897621833e-01   9.995146598e-01   1.538633277e+00   1.794636493e-01   -1.742655932e-01  -2.439126187e-01    -7.662740909e-01    1.878066617e-02    3.000000000e+02   4.913225621e-21   0.000000000e+00   1.000000000e+00   
1.895838421e-04   3.869058001e-04   6.998590034e-01   4.898026247e-01   9.995971933e-01   1.538760327e+00   1.794858782e-01   -2.149276082e-01  -3.008380434e-01    -9.451105870e-01    1.304713212e-02    3.000000000e+02   -5.996201802e-23  0.000000000e+00   1.000000000e+00   
6.555363915e-04   1.337829370e-03   6.999400934e-01   4.899161344e-01   9.998288456e-01   1.539116929e+00   1.795482745e-01   -1.409976767e-01  -1.973798540e-01    -6.200870993e-01    8.093046164e-03    3.000000000e+02   4.547111265e-24   0.000000000e+00   1.000000000e+00   
1.993270678e-03   4.067899343e-03   7.000904096e-01   4.901265816e-01   1.000258330e+00   1.539778068e+00   1.796639764e-01   -9.326712414e-02  -1.305908383e-01    -4.102632181e-01    5.402112503e-03    3.000000000e+02   7.916304906e-20   0.000000000e+00   1.000000000e+00   
3.393356315e-03   6.925216970e-03   7.002080193e-01   4.902912703e-01   1.000594429e+00   1.540295453e+00   1.797545381e-01   -7.677655757e-02  -1.075191226e-01    -3.377812857e-01    4.550597835e-03    3.000000000e+02   -1.115110750e-20  0.000000000e+00   1.000000000e+00   
9.727776504e-03   1.985260511e-02   7.006033733e-01   4.908450867e-01   1.001724667e+00   1.542035318e+00   1.800591910e-01   -5.361528930e-02  -7.512610509e-02    -2.360156199e-01    3.456244013e-03    3.000000000e+02   -1.151055124e-22  0.000000000e+00   1.000000000e+00   
