t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   4.970000000e-01   2.470090000e-01   1.000000000e+00   7.760016598e-01   6.427880415e-02   9.328213163e-02   9.272243884e-02     2.912961327e-01     3.666863060e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
5.454504787e-09   2.208221072e-08   4.969999793e-01   2.470089794e-01   9.999999167e-01   7.760015951e-01   6.427879612e-02   3.746165863e+00   3.723688712e+00     1.169831310e+01     1.072259113e+00    3.000000000e+02   5.753444350e-23   0.000000000e+00   1.000000000e+00   
5.625448609e-08   2.277426575e-07   4.969998098e-01   2.470088109e-01   9.999992346e-01   7.760010658e-01   6.427873035e-02   2.997741795e+00   2.979754204e+00     9.361173918e+00     8.557654540e-01    3.000000000e+02   5.003969331e-21   0.000000000e+00   1.000000000e+00   
1.762255435e-07   7.134377432e-07   4.969995076e-01   2.470085105e-01   9.999980185e-01   7.760001221e-01   6.427861310e-02   2.167605147e+00   2.154597381e+00     6.768867304e+00     6.335215429e-01    3.000000000e+02   -2.035251666e-21  0.000000000e+00   1.000000000e+00   
4.314896472e-07   1.746857998e-06   4.969990536e-01   2.470080592e-01   9.999961914e-01   7.759987043e-01   6.427843693e-02   1.501311730e+00   1.492301018e+00     4.688201914e+00     4.616169170e-01    3.000000000e+02   2.892582440e-21   0.000000000e+00   1.000000000e+00   
9.525580660e-07   3.856369873e-06   4.969984230e-01   2.470074325e-01   9.999936539e-01   7.759967352e-01   6.427819227e-02   1.001792043e+00   9.957781311e-01     3.128329261e+00     3.356361047e-01    3.000000000e+02   -3.418187463e-21  0.000000000e+00   1.000000000e+00   
1.969231613e-06   7.972307136e-06   4.969981759e-01   2.470071869e-01   9.999926596e-01   7.759959636e-01   6.427809641e-02   -9.276434866e-01  -9.220742414e-01    -2.896781663e+00    2.475882572e-01    3.000000000e+02   -6.780160596e-22  0.000000000e+00   1.000000000e+00   
3.869705750e-06   1.566625406e-05   4.969993730e-01   2.470083767e-01   9.999974768e-01   7.759997017e-01   6.427856086e-02   -4.846355254e-01  -4.817271045e-01    -1.513390332e+00    1.865518472e-01    3.000000000e+02   -1.253557290e-22  0.000000000e+00   1.000000000e+00   
5.413044815e-06   2.191436270e-05   4.970000789e-01   2.470090784e-01   1.000000317e+00   7.760019060e-01   6.427883475e-02   -4.458586348e-01  -4.431835533e-01    -1.392302195e+00    1.636434630e-01    3.000000000e+02   -5.490737710e-32  0.000000000e+00   1.000000000e+00   
6.387522714e-06   2.585947360e-05   4.970005166e-01   2.470095135e-01   1.000002079e+00   7.760032731e-01   6.427900460e-02   -4.525069910e-01  -4.497924167e-01    -1.413064552e+00    1.540503840e-01    3.000000000e+02   -1.676739505e-25  0.000000000e+00   1.000000000e+00   
6.955968154e-06   2.816078829e-05   4.970007796e-01   2.470097749e-01   1.000003137e+00   7.760040943e-01   6.427910664e-02   -4.653822843e-01  -4.625907162e-01    -1.453271596e+00    1.495526345e-01    3.000000000e+02   -5.599826012e-26  0.000000000e+00   1.000000000e+00   
7.605620086e-06   3.079086222e-05   4.970010878e-01   2.470100813e-01   1.000004377e+00   7.760050567e-01   6.427922622e-02   -4.825172324e-01  -4.796231788e-01    -1.506780655e+00    1.451479503e-01    3.000000000e+02   2.642536297e-33   0.000000000e+00   1.000000000e+00   
8.011652544e-06   3.243465843e-05   4.970012871e-01   2.470102794e-01   1.000005179e+00   7.760056790e-01   6.427930354e-02   -4.988703632e-01  -4.958784252e-01    -1.557848018e+00    1.427301191e-01    3.000000000e+02   2.527308880e-31   0.000000000e+00   1.000000000e+00   
8.417685002e-06   3.407845464e-05   4.970014929e-01   2.470104839e-01   1.000006007e+00   7.760063216e-01   6.427938338e-02   -5.143812187e-01  -5.112964672e-01    -1.606285225e+00    1.405316390e-01    3.000000000e+02   1.082393319e-30   0.000000000e+00   1.000000000e+00   
8.651153665e-06   3.502363746e-05   4.970016140e-01   2.470106043e-01   1.000006495e+00   7.760066998e-01   6.427943038e-02   -5.229556523e-01  -5.198196064e-01    -1.633061457e+00    1.393575479e-01    3.000000000e+02   5.853216135e-27   0.000000000e+00   1.000000000e+00   
8.925225574e-06   3.613319990e-05   4.970017587e-01   2.470107481e-01   1.000007077e+00   7.760071517e-01   6.427948652e-02   -5.327341742e-01  -5.295396430e-01    -1.663597852e+00    1.380546380e-01    3.000000000e+02   1.641249740e-26   0.000000000e+00   1.000000000e+00   
9.270353162e-06   3.753042667e-05   4.970019446e-01   2.470109330e-01   1.000007825e+00   7.760077324e-01   6.427955867e-02   -5.446334572e-01  -5.413677747e-01    -1.700757024e+00    1.365230261e-01    3.000000000e+02   -8.426662377e-27  0.000000000e+00   1.000000000e+00   
9.737290489e-06   3.942079231e-05   4.970022026e-01   2.470111894e-01   1.000008864e+00   7.760085379e-01   6.427965876e-02   -5.600744393e-01  -5.567164599e-01    -1.748976341e+00    1.346246807e-01    3.000000000e+02   -8.507138082e-28  0.000000000e+00   1.000000000e+00   
1.002151321e-05   4.057144966e-05   4.970023631e-01   2.470113489e-01   1.000009510e+00   7.760090392e-01   6.427972104e-02   -5.691333025e-01  -5.657211926e-01    -1.777265543e+00    1.335592188e-01    3.000000000e+02   -1.170399663e-31  0.000000000e+00   1.000000000e+00   
1.040724404e-05   4.213305606e-05   4.970025851e-01   2.470115696e-01   1.000010403e+00   7.760097323e-01   6.427980716e-02   -5.810526338e-01  -5.775693222e-01    -1.814487539e+00    1.322126802e-01    3.000000000e+02   -2.358839405e-27  0.000000000e+00   1.000000000e+00   
