t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   6.448034972e-02   9.027248961e-02     2.835993902e-01     2.160507588e-02    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -7.878479373e+03  1.108755193e+04     1.880729004e+06     4.577971639e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
3.532115809e-09   7.208399610e-09   6.999999819e-01   4.899999746e-01   9.999999482e-01   1.539380321e+00   1.795943661e-01   5.067993736e+00   7.095191047e+00     2.229020007e+01     2.107173507e+00    3.248538985e+02   6.992001709e-04   1.326024601e+00   1.000000000e+00   4.700868216e-01   -7.361918941e+05  -8.621499118e+05    1.595331887e+06     4.416132506e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.987206674e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   8.012793326e-01   4.700868216e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   5.299131784e-01   
1.165573247e-07   2.378720913e-07   6.999995405e-01   4.899993567e-01   9.999986871e-01   1.539378379e+00   1.795940263e-01   3.157849104e+00   4.420985843e+00     1.388893665e+01     1.385969739e+00    3.198967536e+02   5.349690429e-04   9.163747206e-01   1.000000000e+00   4.086238490e-01   -4.885118625e+05  -6.984832090e+05    1.183438033e+06     4.451167112e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.618983240e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   8.381016760e-01   4.086238490e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   5.913761510e-01   
4.996179184e-07   1.019628405e-06   6.999987058e-01   4.899981881e-01   9.999963022e-01   1.539374708e+00   1.795933839e-01   1.594007093e+00   2.231605804e+00     7.010796399e+00     7.810188031e-01    3.149721499e+02   3.872771759e-04   5.386437183e-01   1.000000000e+00   3.504493653e-01   -2.776540635e+05  -5.304847680e+05    8.040695051e+05     4.484395874e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.310646236e-01   0.000000000e+00   1.143149426e-19   0.000000000e+00   0.000000000e+00   8.689353764e-01   3.504493653e-01   0.000000000e+00   5.495252716e-20   0.000000000e+00   0.000000000e+00   6.495506347e-01   
9.832359945e-07   2.006604070e-06   6.999890627e-01   4.899846878e-01   9.999687507e-01   1.539332296e+00   1.795859618e-01   3.583514870e+01   5.016842430e+01     1.576087532e+02     5.160870103e-01    3.124887354e+02   -1.709982450e-02  3.626267931e-01   1.000000000e+00   3.225218904e-01   -1.842516195e+05  -4.432773292e+05    6.321325833e+05     4.500572225e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.174585848e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   8.825414152e-01   3.225218904e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.774781096e-01   
2.476592232e-06   5.054269862e-06   6.999617327e-01   4.899464272e-01   9.998906678e-01   1.539212096e+00   1.795649277e-01   1.026706305e+01   1.437310248e+01     4.515443316e+01     3.020335624e-01    3.092614967e+02   -4.668335083e-03  2.168574083e-01   1.000000000e+00   2.878907063e-01   -1.084207721e+05  -3.264863511e+05    4.329536187e+05     4.521025141e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.015459489e-01   0.000000000e+00   6.662424976e-20   0.000000000e+00   0.000000000e+00   8.984540511e-01   2.878907063e-01   0.000000000e+00   3.395801128e-20   0.000000000e+00   0.000000000e+00   7.121092937e-01   
6.840862306e-06   1.396094348e-05   6.999389803e-01   4.899145761e-01   9.998256655e-01   1.539112033e+00   1.795474178e-01   2.667026611e+00   3.733511773e+00     1.172917316e+01     1.719651229e-01    3.064728878e+02   -1.072807786e-03  1.255010000e-01   1.000000000e+00   2.596134168e-01   -6.201805536e+04  -2.196194779e+05    2.777609569e+05     4.538190043e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.927719637e-02   0.000000000e+00   1.027973193e-20   0.000000000e+00   0.000000000e+00   9.107228036e-01   2.596134168e-01   0.000000000e+00   5.374192924e-21   0.000000000e+00   0.000000000e+00   7.403865832e-01   
1.008167188e-05   2.057484057e-05   6.999327417e-01   4.899058429e-01   9.998078426e-01   1.539084597e+00   1.795426169e-01   1.477563133e+00   2.068389629e+00     6.498037664e+00     1.419746336e-01    3.056914679e+02   -5.244715752e-04  1.040483800e-01   1.000000000e+00   2.519837321e-01   -5.126847376e+04  -1.873140338e+05    2.344030427e+05     4.542916698e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.607150896e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.139284910e-01   2.519837321e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.480162679e-01   
2.359305990e-05   4.814910183e-05   6.999220126e-01   4.898908237e-01   9.997771913e-01   1.539037413e+00   1.795343606e-01   4.312304928e-01   6.036554288e-01     1.896439460e+00     9.597602431e-02    3.044857072e+02   -7.150679408e-05  7.077067556e-02   1.000000000e+00   2.404617176e-01   -3.472687539e+04  -1.313142652e+05    1.615967363e+05     4.550139326e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.131121163e-02   4.334401857e-22   9.828471502e-21   0.000000000e+00   1.680693553e-22   9.186887884e-01   2.404617176e-01   4.093154382e-22   5.225482152e-21   0.000000000e+00   1.389337507e-22   7.595382824e-01   
6.484271143e-05   1.323320641e-04   6.999136039e-01   4.898790530e-01   9.997531693e-01   1.539000434e+00   1.795278900e-01   1.062528754e-01   1.487356660e-01     4.672668755e-01     6.272421679e-02    3.038310210e+02   4.081105162e-05   4.639833970e-02   1.000000000e+00   2.343377102e-01   -2.271983168e+04  -8.728297196e+04    1.054747839e+05     4.554025190e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.881978826e-02   5.703060100e-23   0.000000000e+00   0.000000000e+00   1.909971361e-22   9.211802117e-01   2.343377102e-01   5.414374675e-23   0.000000000e+00   0.000000000e+00   1.587294412e-22   7.656622898e-01   
