t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   6.448034972e-02   9.027248961e-02     2.835993902e-01     2.160507588e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
3.532115809e-09   7.208399610e-09   6.999999819e-01   4.899999746e-01   9.999999482e-01   1.539380321e+00   1.795943661e-01   5.067993736e+00   7.095191047e+00     2.229020007e+01     2.107173507e+00    3.000000000e+02   2.610669701e-21   0.000000000e+00   1.000000000e+00   
1.165573247e-07   2.378720913e-07   6.999995405e-01   4.899993567e-01   9.999986871e-01   1.539378379e+00   1.795940263e-01   3.157849104e+00   4.420985843e+00     1.388893665e+01     1.385969739e+00    3.000000000e+02   3.770623787e-21   0.000000000e+00   1.000000000e+00   
4.996179184e-07   1.019628405e-06   6.999987058e-01   4.899981881e-01   9.999963022e-01   1.539374708e+00   1.795933839e-01   1.594007093e+00   2.231605804e+00     7.010796399e+00     7.810188031e-01    3.000000000e+02   -1.377891675e-22  0.000000000e+00   1.000000000e+00   
9.832359945e-07   2.006604070e-06   6.999890627e-01   4.899846878e-01   9.999687507e-01   1.539332296e+00   1.795859618e-01   3.583514870e+01   5.016842430e+01     1.576087532e+02     5.160870103e-01    3.000000000e+02   1.534442989e-24   0.000000000e+00   1.000000000e+00   
2.476592232e-06   5.054269862e-06   6.999617327e-01   4.899464272e-01   9.998906678e-01   1.539212096e+00   1.795649277e-01   1.026706305e+01   1.437310248e+01     4.515443316e+01     3.020335624e-01    3.000000000e+02   2.421497542e-25   0.000000000e+00   1.000000000e+00   
6.840862306e-06   1.396094348e-05   6.999389803e-01   4.899145761e-01   9.998256655e-01   1.539112033e+00   1.795474178e-01   2.667026611e+00   3.733511773e+00     1.172917316e+01     1.719651229e-01    3.000000000e+02   1.724707922e-19   0.000000000e+00   1.000000000e+00   
1.008167188e-05   2.057484057e-05   6.999327417e-01   4.899058429e-01   9.998078426e-01   1.539084597e+00   1.795426169e-01   1.477563133e+00   2.068389629e+00     6.498037664e+00     1.419746336e-01    3.000000000e+02   4.630369353e-24   0.000000000e+00   1.000000000e+00   
2.359305990e-05   4.814910183e-05   6.999220126e-01   4.898908237e-01   9.997771913e-01   1.539037413e+00   1.795343606e-01   4.312304928e-01   6.036554288e-01     1.896439460e+00     9.597602431e-02    3.000000000e+02   1.670185371e-21   0.000000000e+00   1.000000000e+00   
6.484271143e-05   1.323320641e-04   6.999136039e-01   4.898790530e-01   9.997531693e-01   1.539000434e+00   1.795278900e-01   1.062528754e-01   1.487356660e-01     4.672668755e-01     6.272421679e-02    3.000000000e+02   4.078082724e-23   0.000000000e+00   1.000000000e+00   
