t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
2.301681909e-05   4.477205131e-05   7.170058973e-01   5.140974567e-01   1.000016450e+00   1.697312165e+03   2.220432129e+00   3.096811529e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.380201908e-05   4.629941329e-05   7.170061382e-01   5.140978022e-01   1.000017122e+00   1.691978386e+03   2.220432129e+00   3.096810489e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.458721907e-05   4.782677526e-05   7.170063826e-01   5.140981526e-01   1.000017804e+00   1.686846489e+03   2.220432129e+00   3.096809433e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.540810996e-05   4.942356278e-05   7.170066417e-01   5.140985242e-01   1.000018526e+00   1.681683179e+03   2.220432129e+00   3.096808314e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.594347359e-05   5.046494594e-05   7.170068126e-01   5.140987694e-01   1.000019003e+00   1.678420235e+03   2.220432129e+00   3.096807575e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.651452813e-05   5.157575465e-05   7.170069966e-01   5.140990332e-01   1.000019516e+00   1.675025235e+03   2.220432129e+00   3.096806781e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.729972812e-05   5.310311662e-05   7.170072522e-01   5.140993997e-01   1.000020229e+00   1.670493934e+03   2.220432129e+00   3.096805677e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.851321901e-05   5.546358512e-05   7.170076529e-01   5.140999743e-01   1.000021347e+00   1.663783220e+03   2.209245853e+00   3.081202613e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.929841900e-05   5.699094710e-05   7.170079156e-01   5.141003511e-01   1.000022080e+00   1.659616473e+03   2.209245853e+00   3.081201484e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.986947354e-05   5.810175580e-05   7.170081085e-01   5.141006277e-01   1.000022618e+00   1.656666891e+03   2.209245853e+00   3.081200655e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.047621898e-05   5.928199005e-05   7.170083149e-01   5.141009236e-01   1.000023194e+00   1.653604223e+03   2.209245853e+00   3.081199768e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.108296443e-05   6.046222431e-05   7.170085227e-01   5.141012216e-01   1.000023773e+00   1.650611558e+03   2.209245853e+00   3.081198875e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.158263715e-05   6.143418192e-05   7.170086949e-01   5.141014686e-01   1.000024254e+00   1.648198046e+03   2.209245853e+00   3.081198135e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.222507351e-05   6.268384172e-05   7.170089177e-01   5.141017880e-01   1.000024875e+00   1.645159232e+03   2.209245853e+00   3.081197178e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.279612804e-05   6.379465043e-05   7.170091169e-01   5.141020738e-01   1.000025431e+00   1.642516474e+03   2.209245853e+00   3.081196321e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
