t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   3.620000000e-01   1.310440000e-01   1.000000000e+00   2.700000000e+03   7.258212220e-01   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.893730857e-09   2.208213163e-08   3.619999849e-01   1.310439891e-01   9.999999167e-01   2.700000000e+03   7.916838640e-01   2.186972091e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.984433596e-08   2.277428647e-07   3.619998615e-01   1.310438997e-01   9.999992346e-01   2.700000000e+03   8.660971270e-01   2.392534416e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.349152461e-08   7.134361330e-07   3.619996413e-01   1.310437403e-01   9.999980185e-01   2.700000000e+03   9.470738120e-01   2.616228592e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.289157655e-07   1.746861859e-06   3.619993106e-01   1.310435009e-01   9.999961914e-01   2.700000000e+03   1.061138202e+00   2.931326582e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.053474307e-07   3.856318722e-06   3.619988514e-01   1.310431684e-01   9.999936539e-01   2.700000000e+03   1.218877530e+00   3.367075684e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.044699745e-06   7.972129550e-06   3.619982667e-01   1.310427451e-01   9.999904235e-01   2.700000000e+03   1.259246322e+00   3.478597656e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.053206146e-06   1.566806680e-05   3.619979947e-01   1.310425482e-01   9.999889212e-01   2.699998827e+03   1.252394205e+00   3.459671665e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.173791028e-06   2.421927771e-05   3.619987066e-01   1.310430636e-01   9.999928544e-01   2.699934557e+03   1.245542088e+00   3.440736293e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.777049047e-06   2.882275455e-05   3.619990962e-01   1.310433457e-01   9.999950068e-01   2.699771454e+03   1.245542088e+00   3.440732590e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.100222986e-06   3.128890286e-05   3.619993119e-01   1.310435019e-01   9.999961986e-01   2.699610094e+03   1.245542088e+00   3.440730540e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.251037491e-06   3.243977207e-05   3.619994164e-01   1.310435775e-01   9.999967758e-01   2.699513261e+03   1.238817757e+00   3.422154017e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.552666501e-06   3.474151049e-05   3.619996322e-01   1.310437337e-01   9.999979678e-01   2.699271424e+03   1.239727987e+00   3.424666426e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.746570864e-06   3.622119947e-05   3.619997755e-01   1.310438374e-01   9.999987595e-01   2.699077659e+03   1.238622772e+00   3.421611990e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.940475227e-06   3.770088846e-05   3.619999222e-01   1.310439436e-01   9.999995699e-01   2.698852324e+03   1.237523332e+00   3.418573475e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.139765823e-06   3.922167992e-05   3.620000763e-01   1.310440553e-01   1.000000422e+00   2.698584241e+03   1.238817757e+00   3.422147779e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.263649166e-06   4.016703677e-05   3.620001738e-01   1.310441259e-01   1.000000960e+00   2.698398576e+03   1.238817757e+00   3.422146857e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.457553529e-06   4.164672575e-05   3.620003290e-01   1.310442382e-01   1.000001818e+00   2.698081261e+03   1.234604623e+00   3.410506910e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.640685428e-06   4.304420979e-05   3.620004783e-01   1.310443463e-01   1.000002643e+00   2.697744577e+03   1.233574046e+00   3.407658608e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.813044862e-06   4.435948889e-05   3.620006212e-01   1.310444498e-01   1.000003432e+00   2.697394956e+03   1.232601770e+00   3.404971422e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.920769509e-06   4.518153833e-05   3.620007117e-01   1.310445153e-01   1.000003932e+00   2.697160531e+03   1.231996293e+00   3.403297985e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.114673872e-06   4.666122731e-05   3.620008767e-01   1.310446347e-01   1.000004844e+00   2.696707175e+03   1.230910640e+00   3.400297401e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.330123164e-06   4.830532618e-05   3.620010631e-01   1.310447697e-01   1.000005873e+00   2.696155600e+03   1.229711537e+00   3.396983219e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.567117386e-06   5.011383494e-05   3.620012719e-01   1.310449209e-01   1.000007027e+00   2.695485087e+03   1.225485478e+00   3.385307105e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.761021750e-06   5.159352393e-05   3.620014456e-01   1.310450466e-01   1.000007987e+00   2.694895969e+03   1.227325746e+00   3.390389074e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.976471042e-06   5.323762280e-05   3.620016415e-01   1.310451885e-01   1.000009069e+00   2.694187896e+03   1.226140899e+00   3.387114196e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.100354385e-06   5.418297965e-05   3.620017555e-01   1.310452710e-01   1.000009699e+00   2.693756789e+03   1.225461284e+00   3.385235748e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.181147870e-06   5.479951673e-05   3.620018304e-01   1.310453252e-01   1.000010113e+00   2.693465990e+03   1.225018176e+00   3.384010999e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.396597163e-06   5.644361560e-05   3.620020321e-01   1.310454713e-01   1.000011227e+00   2.692655358e+03   1.223842812e+00   3.380762271e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.633591385e-06   5.825212436e-05   3.620022573e-01   1.310456343e-01   1.000012471e+00   2.691702466e+03   1.222554158e+00   3.377200372e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.838268212e-06   5.981401829e-05   3.620024545e-01   1.310457771e-01   1.000013561e+00   2.690828758e+03   1.221446803e+00   3.374139562e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.010627647e-06   6.112929739e-05   3.620026225e-01   1.310458987e-01   1.000014489e+00   2.690057680e+03   1.220519528e+00   3.371576482e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.182987081e-06   6.244457648e-05   3.620027921e-01   1.310460215e-01   1.000015426e+00   2.689254014e+03   1.219595396e+00   3.369022071e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.333801585e-06   6.359544569e-05   3.620029420e-01   1.310461300e-01   1.000016254e+00   2.688524190e+03   1.218789137e+00   3.366793458e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.393050141e-06   6.404757288e-05   3.620030012e-01   1.310461729e-01   1.000016581e+00   2.688230672e+03   1.218472903e+00   3.365919340e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.500774787e-06   6.486962232e-05   3.620031094e-01   1.310462512e-01   1.000017179e+00   2.687687549e+03   1.217899277e+00   3.364333745e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.694679150e-06   6.634931130e-05   3.620033058e-01   1.310463934e-01   1.000018264e+00   2.686678570e+03   1.216869465e+00   3.361487162e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.877811049e-06   6.774679534e-05   3.620034930e-01   1.310465290e-01   1.000019299e+00   2.685690397e+03   1.215902484e+00   3.358814230e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
