t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   6.448034972e-02   9.027248961e-02     2.835993902e-01     2.160507588e-02    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -7.878479373e+03  1.108755193e+04     3.250942850e+06     1.547346894e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   1.161432496e+01   1.626005495e+01     5.108246918e+01     4.511469481e+00    3.378587915e+02   1.231383610e-03   2.359892063e+00   1.000000000e+00   6.543804660e-01   -1.538595517e+06  -1.268866319e+06    2.723660362e+06     1.521178754e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.461143431e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.538856569e-01   6.543804660e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   3.456195342e-01   
1.081137083e-08   2.206402211e-08   6.999998874e-01   4.899998423e-01   9.999996782e-01   1.539379905e+00   1.795942933e-01   9.787134723e+00   1.370198641e+01     4.304605984e+01     3.881770213e+00    3.364302731e+02   1.150529793e-03   2.120962814e+00   1.000000000e+00   6.184414831e-01   -1.327456637e+06  -1.225594848e+06    2.540884125e+06     1.522333512e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.118305148e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.881694852e-01   6.184414831e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   3.815585169e-01   
9.252528479e-08   1.888271118e-07   6.999992813e-01   4.899989938e-01   9.999979466e-01   1.539377239e+00   1.795938268e-01   5.955635420e+00   8.337881028e+00     2.619422578e+01     2.511433022e+00    3.314234446e+02   9.069783751e-04   1.464871811e+00   1.000000000e+00   5.540680188e-01   -8.669572474e+05  -1.070705163e+06    1.924233516e+06     1.526266256e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.578080360e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.421919640e-01   5.540680188e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   4.459319812e-01   
3.228117174e-07   6.587994233e-07   6.999982957e-01   4.899976139e-01   9.999951305e-01   1.539372904e+00   1.795930682e-01   3.203240951e+00   4.484526413e+00     1.408855523e+01     1.511229212e+00    3.267571125e+02   7.220132247e-04   9.314254849e-01   1.000000000e+00   4.942203914e-01   -5.261710066e+05  -9.212894470e+05    1.433066261e+06     1.529774560e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.145636236e-01   0.000000000e+00   1.721201884e-19   0.000000000e+00   0.000000000e+00   7.854363764e-01   4.942203914e-01   0.000000000e+00   7.127566068e-20   0.000000000e+00   0.000000000e+00   5.057796086e-01   
6.089899837e-07   1.242836701e-06   6.999975755e-01   4.899966056e-01   9.999930727e-01   1.539369737e+00   1.795925139e-01   1.984866721e+00   2.778803785e+00     8.729869556e+00     1.055213441e+00    3.238664820e+02   6.240702130e-04   6.709770644e-01   1.000000000e+00   4.576634111e-01   -3.693184904e+05  -8.259943933e+05    1.180523693e+06     1.531873767e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.908855256e-01   0.000000000e+00   2.127927599e-19   0.000000000e+00   0.000000000e+00   8.091144744e-01   4.576634111e-01   0.000000000e+00   9.172229574e-20   0.000000000e+00   0.000000000e+00   5.423365889e-01   
1.707961172e-06   3.485635045e-06   6.999632800e-01   4.899485934e-01   9.998950886e-01   1.539218902e+00   1.795661185e-01   2.504919943e+01   3.506703959e+01     1.101663540e+02     4.956119998e-01    3.185641744e+02   -1.174269094e-02  3.316797188e-01   1.000000000e+00   3.925474559e-01   -1.750968166e+05  -6.449268232e+05    8.112705126e+05     1.535580897e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.530171677e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   8.469828323e-01   3.925474559e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.074525441e-01   
3.423212042e-06   6.986147024e-06   6.999345760e-01   4.899084107e-01   9.998130831e-01   1.539092664e+00   1.795440286e-01   1.112570137e+01   1.557452614e+01     4.892881690e+01     3.015821694e-01    3.150248803e+02   -5.093983510e-03  2.079062312e-01   1.000000000e+00   3.510487918e-01   -1.072034575e+05  -5.180986981e+05    6.127872092e+05     1.537954553e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.313646929e-01   0.000000000e+00   1.313087623e-19   0.000000000e+00   0.000000000e+00   8.686353071e-01   3.510487918e-01   0.000000000e+00   6.308518908e-20   0.000000000e+00   0.000000000e+00   6.489512082e-01   
6.073400771e-06   1.239469545e-05   6.999150310e-01   4.898810506e-01   9.997572461e-01   1.539006710e+00   1.795289881e-01   5.233700105e+00   7.326290742e+00     2.301622117e+01     2.092263686e-01    3.124964852e+02   -2.295309882e-03  1.470038883e-01   1.000000000e+00   3.226085603e-01   -7.469629726e+04  -4.225780120e+05    4.832059123e+05     1.539601964e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.174997063e-01   0.000000000e+00   1.828475454e-20   0.000000000e+00   0.000000000e+00   8.825002937e-01   3.226085603e-01   0.000000000e+00   9.025538316e-21   0.000000000e+00   0.000000000e+00   6.773914397e-01   
1.589171562e-05   3.243207269e-05   6.998909757e-01   4.898473779e-01   9.996885263e-01   1.538900924e+00   1.795104782e-01   1.200946919e+00   1.681063822e+00     5.281217753e+00     1.263190882e-01    3.093720447e+02   -4.091320261e-04  9.063306081e-02   1.000000000e+00   2.890467857e-01   -4.533625838e+04  -2.916180838e+05    3.218368726e+05     1.541583234e+04   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.020609741e-01   0.000000000e+00   3.849387101e-20   1.666402281e-20   4.137548608e-23   8.979390259e-01   2.890467857e-01   0.000000000e+00   1.959949564e-20   2.072718826e-20   3.275482308e-23   7.109532143e-01   
