t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   4.310000000e-01   1.857610000e-01   1.000000000e+00   5.835853929e-01   4.192088406e-02   1.180370595e-01   1.017479453e-01     3.196505974e-01     4.638053399e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
5.168269122e-09   2.782214309e-08   4.309999805e-01   1.857609832e-01   9.999999094e-01   5.835853401e-01   4.192087836e-02   3.723990478e+00   3.210079647e+00     1.008476264e+01     1.059575382e+00    3.000000000e+02   -1.371382551e-22  0.000000000e+00   1.000000000e+00   
5.288095886e-08   2.846720186e-07   4.309998232e-01   1.857608476e-01   9.999991796e-01   5.835849141e-01   4.192083247e-02   2.944267048e+00   2.537957154e+00     7.973227550e+00     8.362939005e-01    3.000000000e+02   -5.330418636e-21  0.000000000e+00   1.000000000e+00   
1.667347259e-07   8.975765949e-07   4.309995445e-01   1.857606074e-01   9.999978863e-01   5.835841594e-01   4.192075114e-02   2.087053644e+00   1.799038340e+00     5.651845631e+00     6.069891445e-01    3.000000000e+02   6.344159075e-22   0.000000000e+00   1.000000000e+00   
4.035626586e-07   2.172483237e-06   4.309991416e-01   1.857602601e-01   9.999960167e-01   5.835830683e-01   4.192063358e-02   1.427113527e+00   1.230169411e+00     3.864691183e+00     4.372721406e-01    3.000000000e+02   -3.014317574e-21  0.000000000e+00   1.000000000e+00   
8.406242242e-07   4.525299844e-06   4.309986337e-01   1.857598223e-01   9.999936600e-01   5.835816930e-01   4.192048539e-02   9.685602743e-01   8.348963098e-01     2.622904113e+00     3.224674699e-01    3.000000000e+02   -3.270620433e-21  0.000000000e+00   1.000000000e+00   
1.596910556e-06   8.596586775e-06   4.309980411e-01   1.857593115e-01   9.999909102e-01   5.835800882e-01   4.192031248e-02   6.446634663e-01   5.556973823e-01     1.745774814e+00     2.444382268e-01    3.000000000e+02   -1.351745524e-21  0.000000000e+00   1.000000000e+00   
2.408396695e-06   1.296502869e-05   4.309982096e-01   1.857594566e-01   9.999916917e-01   5.835805443e-01   4.192036162e-02   -5.133556209e-01  -4.425107069e-01    -1.390188386e+00    2.056886455e-01    3.000000000e+02   -8.300732939e-28  0.000000000e+00   1.000000000e+00   
3.247981547e-06   1.748473332e-05   4.309986207e-01   1.857598110e-01   9.999935995e-01   5.835816577e-01   4.192048158e-02   -4.249585152e-01  -3.663130678e-01    -1.150806443e+00    1.815377736e-01    3.000000000e+02   -8.669142276e-27  0.000000000e+00   1.000000000e+00   
4.810665371e-06   2.589706866e-05   4.309992674e-01   1.857603685e-01   9.999966006e-01   5.835834091e-01   4.192067030e-02   -4.189442543e-01  -3.611293334e-01    -1.134521261e+00    1.555684026e-01    3.000000000e+02   -2.686783427e-31  0.000000000e+00   1.000000000e+00   
