t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   4.310000000e-01   1.857610000e-01   1.000000000e+00   5.835853929e-01   4.192088406e-02   1.180370595e-01   1.017479453e-01     3.196505974e-01     4.638053399e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -4.281080260e+04  3.250655530e+05     3.846918095e+04     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.206151358e-02   2.232992583e-01   4.638745756e-01   0.000000000e+00   0.000000000e+00   2.307646526e-01   1.000000000e-01   1.890000000e-01   5.400000000e-01   0.000000000e+00   0.000000000e+00   1.710000000e-01   
5.168269122e-09   2.782214309e-08   4.309999805e-01   1.857609832e-01   9.999999094e-01   5.835853401e-01   4.192087836e-02   3.723990478e+00   3.210079647e+00     1.008476264e+01     1.059575382e+00    2.945622045e+02   -5.178182967e-04  6.818797030e-01   1.000000000e+00   7.764132815e-02   -9.832265482e+05  8.881937781e+05     9.768750399e+04     3.013808635e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.329987356e-02   2.302708352e-01   4.679664919e-01   4.518472381e-23   6.784609265e-23   2.384627993e-01   7.764132815e-02   1.961747448e-01   5.483244143e-01   3.369659876e-23   3.254171488e-23   1.778595127e-01   
5.288095886e-08   2.846720186e-07   4.309998232e-01   1.857608476e-01   9.999991796e-01   5.835849141e-01   4.192083247e-02   2.944267048e+00   2.537957154e+00     7.973227550e+00     8.362939005e-01    2.956587881e+02   -4.099260552e-04  5.395056835e-01   9.999999999e-01   8.275449535e-02   -7.747286950e+05  7.046939046e+05     7.212574983e+04     2.419308752e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.755446537e-02   2.289407884e-01   4.664848943e-01   7.124626203e-22   0.000000000e+00   2.370198519e-01   8.275449535e-02   1.947936315e-01   5.458933844e-01   5.306448313e-22   0.000000000e+00   1.765584887e-01   
1.667347259e-07   8.975765949e-07   4.309995445e-01   1.857606074e-01   9.999978863e-01   5.835841594e-01   4.192075114e-02   2.087053644e+00   1.799038340e+00     5.651845631e+00     6.069891445e-01    2.970744992e+02   -2.714095470e-04  3.928722512e-01   9.999999999e-01   8.979819060e-02   -5.610769527e+05  4.674369520e+05     9.511588217e+04     1.641953284e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.341271698e-02   2.274232444e-01   4.637242834e-01   1.173123995e-20   4.603807807e-20   2.354397552e-01   8.979819060e-02   1.932169339e-01   5.418621802e-01   8.724579968e-21   2.202109724e-20   1.751226954e-01   
4.035626586e-07   2.172483237e-06   4.309991416e-01   1.857602601e-01   9.999960167e-01   5.835830683e-01   4.192063358e-02   1.427113527e+00   1.230169411e+00     3.864691183e+00     4.372721406e-01    2.982437659e+02   -1.566788432e-04  2.837891537e-01   9.999999999e-01   9.599823448e-02   -4.034638861e+05  2.699967142e+05     1.344732245e+05     9.914829836e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.857771675e-02   2.261723797e-01   4.610942433e-01   7.604090695e-19   1.310292226e-18   2.341556603e-01   9.599823448e-02   1.919187715e-01   5.381288224e-01   5.648270016e-19   6.259757168e-19   1.739541716e-01   
8.406242242e-07   4.525299844e-06   4.309986337e-01   1.857598223e-01   9.999936600e-01   5.835816930e-01   4.192048539e-02   9.685602743e-01   8.348963098e-01     2.622904113e+00     3.224674699e-01    2.990911275e+02   -7.330259698e-05  2.096831993e-01   9.999999979e-01   1.007149085e-01   -2.971423599e+05  1.260919558e+05     1.717320305e+05     5.152846312e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.251413231e-02   2.252381157e-01   4.590473341e-01   5.149896833e-16   2.143412161e-16   2.332004179e-01   1.007149085e-01   1.909507451e-01   5.352486833e-01   3.821802809e-16   1.023049381e-16   1.730856632e-01   
1.596910556e-06   8.596586775e-06   4.309980411e-01   1.857593115e-01   9.999909102e-01   5.835800882e-01   4.192031248e-02   6.446634663e-01   5.556973823e-01     1.745774814e+00     2.444382268e-01    2.997414847e+02   -1.066123943e-05  1.591757185e-01   9.999997950e-01   1.044670040e-01   -2.250118840e+05  1.786101097e+04     2.076052272e+05     1.470426056e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.564994109e-02   2.245045372e-01   4.573935869e-01   1.272360896e-12   5.707898747e-14   2.324519348e-01   1.044670040e-01   1.901915598e-01   5.329357508e-01   9.435538815e-13   2.722411763e-14   1.724056854e-01   
2.408396695e-06   1.296502869e-05   4.309982096e-01   1.857594566e-01   9.999916917e-01   5.835805443e-01   4.192036162e-02   -5.133556209e-01  -4.425107069e-01    -1.390188386e+00    2.056886455e-01    3.001454532e+02   5.180285744e-04   1.340619255e-01   9.999999993e-01   1.068566870e-01   -1.892218862e+05  -4.517932777e+04    2.340397551e+05     -8.290057138e-01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.764902884e-02   2.240434557e-01   4.563258657e-01   1.777935101e-10   3.179668925e-12   2.319816496e-01   1.068566870e-01   1.897146661e-01   5.314499808e-01   1.317876828e-10   1.515870077e-12   1.719786660e-01   
3.247981547e-06   1.748473332e-05   4.309986207e-01   1.857598110e-01   9.999935995e-01   5.835816577e-01   4.192048158e-02   -4.249585152e-01  -3.663130678e-01    -1.150806443e+00    1.815377736e-01    3.004559675e+02   4.432522191e-04   1.184018249e-01   9.999999999e-01   1.087252134e-01   -1.669229434e+05  -8.969628216e+04    2.563222755e+05     -2.602808257e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.921306920e-02   2.236871262e-01   4.554805453e-01   5.385637993e-09   6.686330461e-11   2.316192538e-01   1.087252134e-01   1.893463007e-01   5.302788829e-01   3.990646578e-09   3.186508682e-11   1.716495990e-01   
4.810665371e-06   2.589706866e-05   4.309992674e-01   1.857603685e-01   9.999966006e-01   5.835834091e-01   4.192067030e-02   -4.189442543e-01  -3.611293334e-01    -1.134521261e+00    1.555684026e-01    3.009220715e+02   4.072836654e-04   1.015674531e-01   1.000000000e+00   1.115820682e-01   -1.429392785e+05  -1.490874428e+05    2.917372000e+05     -5.275755499e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.160602713e-02   2.231483801e-01   4.541733082e-01   3.430025436e-07   3.786808558e-09   2.310719378e-01   1.115820682e-01   1.887896335e-01   5.284752807e-01   2.540224030e-07   1.803720284e-09   1.711527618e-01   
