t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   5.870000000e-01   3.445690000e-01   1.000000000e+00   2.700000000e+03   1.176953197e+00   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.608838622e-09   2.208219144e-08   5.869999755e-01   3.445689713e-01   9.999999167e-01   2.700000000e+03   1.283752564e+00   2.186972091e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.847363857e-08   2.277443373e-07   5.869997754e-01   3.445687363e-01   9.999992346e-01   2.700000000e+03   1.404417164e+00   2.392534416e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.458228765e-07   7.134213364e-07   5.869994184e-01   3.445683172e-01   9.999980185e-01   2.700000000e+03   1.535724662e+00   2.616228592e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.018870447e-07   1.746782342e-06   5.869988822e-01   3.445676877e-01   9.999961915e-01   2.700000000e+03   1.720685427e+00   2.931326582e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.328745759e-06   3.856254506e-06   5.869981375e-01   3.445668134e-01   9.999936540e-01   2.700000000e+03   1.976467155e+00   3.367075684e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.746851334e-06   7.971846958e-06   5.869992319e-01   3.445680982e-01   9.999973830e-01   2.700000000e+03   2.041927047e+00   3.478585552e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.397814073e-06   1.566540830e-05   5.870006273e-01   3.445697365e-01   1.000002137e+00   2.699998829e+03   2.030816017e+00   3.459648803e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.549514408e-06   2.191002211e-05   5.870014591e-01   3.445707130e-01   1.000004971e+00   2.699970599e+03   2.030816017e+00   3.459643901e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.681404779e-06   2.519496757e-05   5.870018876e-01   3.445712160e-01   1.000006431e+00   2.699911286e+03   2.019704988e+00   3.440712936e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
