t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   5.870000000e-01   3.445690000e-01   1.000000000e+00   1.082495439e+00   1.059041371e-01   9.328213163e-02   1.095132225e-01     3.440459354e-01     3.666863060e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
7.608838622e-09   2.208219144e-08   5.869999755e-01   3.445689713e-01   9.999999167e-01   1.082495349e+00   1.059041239e-01   3.171796822e+00   3.723689314e+00     1.169831499e+01     9.078599096e-01    3.000000000e+02   8.053452779e-23   0.000000000e+00   1.000000000e+00   
7.847363857e-08   2.277443373e-07   5.869997754e-01   3.445687363e-01   9.999992346e-01   1.082494611e+00   1.059040155e-01   2.538118779e+00   2.979750306e+00     9.361161670e+00     7.245581930e-01    3.000000000e+02   -7.050111855e-21  0.000000000e+00   1.000000000e+00   
2.458228765e-07   7.134213364e-07   5.869994184e-01   3.445683172e-01   9.999980185e-01   1.082493294e+00   1.059038224e-01   1.835278386e+00   2.154614690e+00     6.768921682e+00     5.363935293e-01    3.000000000e+02   9.416848465e-22   0.000000000e+00   1.000000000e+00   
6.018870447e-07   1.746782342e-06   5.869988822e-01   3.445676877e-01   9.999961915e-01   1.082491316e+00   1.059035321e-01   1.271150461e+00   1.492327800e+00     4.688286052e+00     3.908472175e-01    3.000000000e+02   -7.632595878e-21  0.000000000e+00   1.000000000e+00   
1.328745759e-06   3.856254506e-06   5.869981375e-01   3.445668134e-01   9.999936540e-01   1.082488570e+00   1.059031290e-01   8.482067535e-01   9.957915689e-01     3.128371477e+00     2.841787226e-01    3.000000000e+02   7.908266762e-22   0.000000000e+00   1.000000000e+00   
2.746851334e-06   7.971846958e-06   5.869992319e-01   3.445680982e-01   9.999973830e-01   1.082492606e+00   1.059037214e-01   -7.802519647e-01  -9.160146080e-01    -2.877744763e+00    2.096050959e-01    3.000000000e+02   -5.768037522e-22  0.000000000e+00   1.000000000e+00   
5.397814073e-06   1.566540830e-05   5.870006273e-01   3.445697365e-01   1.000002137e+00   1.082497753e+00   1.059044766e-01   -4.102809628e-01  -4.816703651e-01    -1.513212081e+00    1.579470781e-01    3.000000000e+02   -3.939384571e-23  0.000000000e+00   1.000000000e+00   
7.549514408e-06   2.191002211e-05   5.870014591e-01   3.445707130e-01   1.000004971e+00   1.082500820e+00   1.059049268e-01   -3.774900552e-01  -4.431744264e-01    -1.392273522e+00    1.385607717e-01    3.000000000e+02   2.505898460e-31   0.000000000e+00   1.000000000e+00   
8.681404779e-06   2.519496757e-05   5.870018876e-01   3.445712160e-01   1.000006431e+00   1.082502401e+00   1.059051588e-01   -3.834296352e-01  -4.501478392e-01    -1.414181145e+00    1.316502500e-01    3.000000000e+02   -6.737457555e-30  0.000000000e+00   1.000000000e+00   
9.473728039e-06   2.749442939e-05   5.870021933e-01   3.445715749e-01   1.000007473e+00   1.082503528e+00   1.059053242e-01   -3.894770694e-01  -4.572477879e-01    -1.436486291e+00    1.276716453e-01    3.000000000e+02   -1.184800230e-25  0.000000000e+00   1.000000000e+00   
9.756700631e-06   2.831566575e-05   5.870023046e-01   3.445717056e-01   1.000007852e+00   1.082503939e+00   1.059053845e-01   -3.973986483e-01  -4.665478448e-01    -1.465703282e+00    1.263896809e-01    3.000000000e+02   -6.239293731e-27  0.000000000e+00   1.000000000e+00   
1.026605130e-05   2.979389120e-05   5.870025077e-01   3.445719440e-01   1.000008544e+00   1.082504688e+00   1.059054944e-01   -4.026495234e-01  -4.727125599e-01    -1.485070306e+00    1.242372094e-01    3.000000000e+02   -1.233532860e-33  0.000000000e+00   1.000000000e+00   
1.083199648e-05   3.143636393e-05   5.870027369e-01   3.445722132e-01   1.000009325e+00   1.082505534e+00   1.059056185e-01   -4.102234954e-01  -4.816046291e-01    -1.513005565e+00    1.220628703e-01    3.000000000e+02   1.592979973e-26   0.000000000e+00   1.000000000e+00   
1.134134715e-05   3.291458939e-05   5.870029473e-01   3.445724601e-01   1.000010042e+00   1.082506309e+00   1.059057323e-01   -4.179964170e-01  -4.907302575e-01    -1.541674572e+00    1.202790228e-01    3.000000000e+02   -1.434783655e-31  0.000000000e+00   1.000000000e+00   
1.187899508e-05   3.447493848e-05   5.870031735e-01   3.445727257e-01   1.000010813e+00   1.082507144e+00   1.059058548e-01   -4.237787936e-01  -4.975189934e-01    -1.563002015e+00    1.185542355e-01    3.000000000e+02   3.719582774e-24   0.000000000e+00   1.000000000e+00   
1.252983204e-05   3.636378212e-05   5.870034532e-01   3.445730541e-01   1.000011766e+00   1.082508175e+00   1.059060062e-01   -4.346891971e-01  -5.103281195e-01    -1.603243071e+00    1.166571938e-01    3.000000000e+02   -9.951867637e-33  0.000000000e+00   1.000000000e+00   
