t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   6.448034972e-02   9.027248961e-02     2.835993902e-01     2.160507588e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
6.470361340e-09   1.320481906e-08   6.999999787e-01   4.899999702e-01   9.999999391e-01   1.539380307e+00   1.795943636e-01   3.249837540e+00   4.549772418e+00     1.429353160e+01     1.365638472e+00    3.000000000e+02   -1.444378861e-22  0.000000000e+00   1.000000000e+00   
1.955619750e-07   3.991060714e-07   6.999995044e-01   4.899993061e-01   9.999985840e-01   1.539378220e+00   1.795939986e-01   2.036195104e+00   2.850671127e+00     8.955647469e+00     8.838210147e-01    3.000000000e+02   -5.395691158e-22  0.000000000e+00   1.000000000e+00   
6.586233973e-07   1.344129382e-06   6.999974916e-01   4.899964882e-01   9.999928330e-01   1.539369368e+00   1.795924493e-01   3.003558109e+01   4.204966284e+01     1.321029119e+02     5.350951378e-01    3.000000000e+02   -1.692316438e-24  0.000000000e+00   1.000000000e+00   
1.325188640e-06   2.704466612e-06   6.999815078e-01   4.899741113e-01   9.999471659e-01   1.539299068e+00   1.795801472e-01   1.451243962e+01   2.031687874e+01     6.382735700e+01     3.828005867e-01    3.000000000e+02   3.311023905e-25   0.000000000e+00   1.000000000e+00   
3.984338545e-06   8.131303153e-06   6.999621563e-01   4.899470202e-01   9.998918780e-01   1.539213959e+00   1.795652537e-01   3.742559858e+00   5.239300536e+00     1.645974807e+01     2.152405285e-01    3.000000000e+02   -1.606246152e-24  0.000000000e+00   1.000000000e+00   
1.067902564e-05   2.179392987e-05   6.999494780e-01   4.899292717e-01   9.998556566e-01   1.539158201e+00   1.795554965e-01   9.966631578e-01   1.395227714e+00     4.383237137e+00     1.324329594e-01    3.000000000e+02   1.810201082e-19   0.000000000e+00   1.000000000e+00   
2.192210955e-05   4.473899909e-05   6.999424969e-01   4.899194990e-01   9.998357123e-01   1.539127499e+00   1.795501241e-01   3.799397398e-01   5.318719404e-01     1.670924980e+00     9.510302332e-02    3.000000000e+02   3.162352651e-24   0.000000000e+00   1.000000000e+00   
3.531761836e-05   7.207677217e-05   6.999385760e-01   4.899140102e-01   9.998245107e-01   1.539110255e+00   1.795471068e-01   2.276524486e-01   3.186854614e-01     1.001179904e+00     7.705881372e-02    3.000000000e+02   2.350392335e-23   0.000000000e+00   1.000000000e+00   
8.904026024e-05   1.817148168e-04   6.999308564e-01   4.899032037e-01   9.998024565e-01   1.539076306e+00   1.795411661e-01   1.017459494e-01   1.424302591e-01     4.474578555e-01     5.204037142e-02    3.000000000e+02   -6.507692620e-23  0.000000000e+00   1.000000000e+00   
2.065251123e-04   4.214798211e-04   6.999218867e-01   4.898906475e-01   9.997768316e-01   1.539036859e+00   1.795342637e-01   6.160340458e-02   8.623514233e-02     2.709156896e-01     3.712217217e-02    3.000000000e+02   -2.301663806e-23  0.000000000e+00   1.000000000e+00   
2.995660936e-04   6.113593748e-04   6.999166846e-01   4.898833654e-01   9.997619702e-01   1.539013982e+00   1.795302606e-01   5.130021039e-02   7.181174635e-02     2.256032548e-01     3.222852632e-02    3.000000000e+02   9.635268701e-23   0.000000000e+00   1.000000000e+00   
6.544457930e-04   1.335603659e-03   6.999016536e-01   4.898623247e-01   9.997190300e-01   1.538947881e+00   1.795186944e-01   3.654794094e-02   5.115992859e-02     1.607236558e-01     2.451962147e-02    3.000000000e+02   3.015542829e-25   0.000000000e+00   1.000000000e+00   
1.619491878e-03   3.305085466e-03   6.998723833e-01   4.898213529e-01   9.996354141e-01   1.538819164e+00   1.794961726e-01   2.656581422e-02   3.718535942e-02     1.168212520e-01     1.875760506e-02    3.000000000e+02   5.313714131e-25   0.000000000e+00   1.000000000e+00   
2.822372819e-03   5.759944528e-03   6.998429679e-01   4.897801797e-01   9.995513871e-01   1.538689814e+00   1.794735411e-01   2.295051988e-02   3.212351990e-02     1.009190141e-01     1.642986327e-02    3.000000000e+02   1.258288355e-23   0.000000000e+00   1.000000000e+00   
4.562468560e-03   9.311160327e-03   6.998051004e-01   4.897271786e-01   9.994432216e-01   1.538523306e+00   1.794444095e-01   2.091100034e-02   2.926724939e-02     9.194577568e-02     1.497991596e-02    3.000000000e+02   -1.629400428e-22  0.000000000e+00   1.000000000e+00   
1.077441437e-02   2.198860075e-02   6.996815438e-01   4.895542628e-01   9.990903322e-01   1.537980076e+00   1.793493789e-01   1.955258265e-02   2.736116242e-02     8.595762687e-02     1.343569741e-02    3.000000000e+02   -1.311233564e-22  0.000000000e+00   1.000000000e+00   
2.645500531e-02   5.398980676e-02   6.993650969e-01   4.891115388e-01   9.981868139e-01   1.536589217e+00   1.791061444e-01   2.116374633e-02   2.960237100e-02     9.299859127e-02     1.304613064e-02    3.000000888e+02   9.505966791e-22   0.000000000e+00   1.000000000e+00   
4.902752600e-02   1.000561755e-01   6.988511285e-01   4.883928998e-01   9.967202038e-01   1.534331546e+00   1.787115554e-01   2.437630604e-02   3.407081797e-02     1.070366314e-01     1.351060747e-02    3.000182693e+02   4.480884759e-22   0.000000000e+00   1.000000000e+00   
9.999961466e-02   2.040808462e-01   6.974309561e-01   4.864099385e-01   9.926733439e-01   1.528101889e+00   1.776242603e-01   3.120788345e-02   4.353068799e-02     1.367556896e-01     1.497693918e-02    3.006779314e+02   -2.637656564e-21  0.000000000e+00   1.000000000e+00   
1.988911602e-01   4.059003270e-01   6.937658683e-01   4.813110800e-01   9.822675102e-01   1.512083353e+00   1.748386367e-01   4.261541780e-02   5.913024467e-02     1.857631423e-01     1.774867690e-02    3.046829246e+02   9.697000535e-22   0.000000000e+00   1.000000000e+00   
