t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   4.750000000e-01   2.256250000e-01   1.000000000e+00   7.088218425e-01   5.611506253e-02   1.180370595e-01   1.121352065e-01     3.522831410e-01     4.638053399e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
6.087991905e-09   2.698278961e-08   4.749999791e-01   2.256249802e-01   9.999999121e-01   7.088217802e-01   5.611505513e-02   3.382090140e+00   3.212985491e+00     1.009389162e+01     9.623390051e-01    3.000000000e+02   -1.251078624e-22  0.000000000e+00   1.000000000e+00   
6.299828592e-08   2.792167797e-07   4.749998084e-01   2.256248180e-01   9.999991934e-01   7.088212708e-01   5.611499464e-02   2.682771026e+00   2.548631447e+00     8.006761831e+00     7.619257784e-01    3.000000000e+02   1.326313888e-21   0.000000000e+00   1.000000000e+00   
1.990354956e-07   8.821517808e-07   4.749995046e-01   2.256245294e-01   9.999979141e-01   7.088203639e-01   5.611488695e-02   1.906099952e+00   1.810793065e+00     5.688774191e+00     5.539917658e-01    3.000000000e+02   -1.242052739e-22  0.000000000e+00   1.000000000e+00   
4.751519018e-07   2.105936407e-06   4.749990735e-01   2.256241199e-01   9.999960991e-01   7.088190774e-01   5.611473418e-02   1.314388604e+00   1.248666738e+00     3.922802251e+00     4.017072289e-01    3.000000000e+02   -4.390955320e-21  0.000000000e+00   1.000000000e+00   
9.716794367e-07   4.306612462e-06   4.749985382e-01   2.256236113e-01   9.999938451e-01   7.088174798e-01   5.611454446e-02   9.041915946e-01   8.589793715e-01     2.698563283e+00     2.988467189e-01    3.000000000e+02   -1.401129611e-21  0.000000000e+00   1.000000000e+00   
1.827838021e-06   8.101221146e-06   4.749983102e-01   2.256233947e-01   9.999928849e-01   7.088167991e-01   5.611446363e-02   -7.801587179e-01  -7.411481453e-01    -2.328385569e+00    2.286082594e-01    3.000000000e+02   1.583213712e-23   0.000000000e+00   1.000000000e+00   
2.502238492e-06   1.109025370e-05   4.749987649e-01   2.256238266e-01   9.999947994e-01   7.088181562e-01   5.611462478e-02   -6.185967037e-01  -5.876653404e-01    -1.846205116e+00    1.995620260e-01    3.000000000e+02   -3.407101475e-30  0.000000000e+00   1.000000000e+00   
3.885101366e-06   1.721928583e-05   4.749994138e-01   2.256244431e-01   9.999975317e-01   7.088200929e-01   5.611485476e-02   -3.924833309e-01  -3.728587042e-01    -1.171370166e+00    1.657577391e-01    3.000000000e+02   -5.564137275e-29  0.000000000e+00   1.000000000e+00   
5.554137580e-06   2.461667626e-05   4.750000427e-01   2.256250405e-01   1.000000180e+00   7.088219698e-01   5.611507765e-02   -3.798417962e-01  -3.608497388e-01    -1.133642889e+00    1.438830123e-01    3.000000000e+02   1.162680789e-26   0.000000000e+00   1.000000000e+00   
6.677387268e-06   2.959506822e-05   4.750004702e-01   2.256254467e-01   1.000001980e+00   7.088232457e-01   5.611522916e-02   -3.894114831e-01  -3.699412752e-01    -1.162204792e+00    1.344057067e-01    3.000000000e+02   3.654083879e-29   0.000000000e+00   1.000000000e+00   
7.426220393e-06   3.291399620e-05   4.750007684e-01   2.256257299e-01   1.000003235e+00   7.088241356e-01   5.611533484e-02   -4.044199301e-01  -3.841995551e-01    -1.206998500e+00    1.294872188e-01    3.000000000e+02   -9.415196227e-32  0.000000000e+00   1.000000000e+00   
7.838078612e-06   3.473940659e-05   4.750009369e-01   2.256258900e-01   1.000003945e+00   7.088246386e-01   5.611539457e-02   -4.150628527e-01  -3.943104878e-01    -1.238762932e+00    1.271417757e-01    3.000000000e+02   2.822762097e-28   0.000000000e+00   1.000000000e+00   
8.362261799e-06   3.706265617e-05   4.750011585e-01   2.256261005e-01   1.000004878e+00   7.088252999e-01   5.611547310e-02   -4.246071939e-01  -4.033778180e-01    -1.267248790e+00    1.244534737e-01    3.000000000e+02   9.495621949e-26   0.000000000e+00   1.000000000e+00   
8.736678362e-06   3.872212016e-05   4.750013199e-01   2.256262539e-01   1.000005557e+00   7.088257816e-01   5.611553031e-02   -4.372595580e-01  -4.153977344e-01    -1.305010471e+00    1.227190189e-01    3.000000000e+02   3.294197974e-28   0.000000000e+00   1.000000000e+00   
9.204699065e-06   4.079645015e-05   4.750015270e-01   2.256264507e-01   1.000006430e+00   7.088264000e-01   5.611560373e-02   -4.439982708e-01  -4.217997133e-01    -1.325122881e+00    1.207296821e-01    3.000000000e+02   3.668480621e-31   0.000000000e+00   1.000000000e+00   
9.448069831e-06   4.187510174e-05   4.750016360e-01   2.256265542e-01   1.000006889e+00   7.088267253e-01   5.611564236e-02   -4.515341167e-01  -4.289588883e-01    -1.347614092e+00    1.197717884e-01    3.000000000e+02   2.938558496e-26   0.000000000e+00   1.000000000e+00   
9.878648878e-06   4.378348533e-05   4.750018333e-01   2.256267416e-01   1.000007719e+00   7.088273139e-01   5.611571226e-02   -4.644158627e-01  -4.411967724e-01    -1.386060539e+00    1.181868788e-01    3.000000000e+02   -1.239172358e-30  0.000000000e+00   1.000000000e+00   
1.025306544e-05   4.544294932e-05   4.750020092e-01   2.256269088e-01   1.000008460e+00   7.088278390e-01   5.611577462e-02   -4.751821427e-01  -4.514249451e-01    -1.418193291e+00    1.169136783e-01    3.000000000e+02   2.093023918e-33   0.000000000e+00   1.000000000e+00   
1.068364449e-05   4.735133291e-05   4.750022138e-01   2.256271031e-01   1.000009321e+00   7.088284496e-01   5.611584713e-02   -4.775668753e-01  -4.536906460e-01    -1.425311200e+00    1.155519213e-01    3.000000000e+02   6.989705251e-27   0.000000000e+00   1.000000000e+00   
1.087085277e-05   4.818106490e-05   4.750023037e-01   2.256271885e-01   1.000009700e+00   7.088287179e-01   5.611587899e-02   -4.826096605e-01  -4.584814011e-01    -1.440361801e+00    1.149957383e-01    3.000000000e+02   -7.851754166e-29  0.000000000e+00   1.000000000e+00   
1.124526933e-05   4.984052889e-05   4.750024863e-01   2.256273620e-01   1.000010468e+00   7.088292628e-01   5.611594369e-02   -4.924548458e-01  -4.678345522e-01    -1.469745592e+00    1.139389241e-01    3.000000000e+02   2.117736746e-27   0.000000000e+00   1.000000000e+00   
1.161968589e-05   5.149999288e-05   4.750026725e-01   2.256275388e-01   1.000011252e+00   7.088298185e-01   5.611600968e-02   -5.019963148e-01  -4.768991822e-01    -1.498222967e+00    1.129511577e-01    3.000000000e+02   -1.006426476e-26  0.000000000e+00   1.000000000e+00   
1.190049832e-05   5.274459087e-05   4.750028144e-01   2.256276737e-01   1.000011850e+00   7.088302422e-01   5.611606000e-02   -5.089644540e-01  -4.835190962e-01    -1.519020040e+00    1.122522105e-01    3.000000000e+02   7.472847657e-31   0.000000000e+00   1.000000000e+00   
1.227491488e-05   5.440405486e-05   4.750030067e-01   2.256278564e-01   1.000012660e+00   7.088308161e-01   5.611612815e-02   -5.180193441e-01  -4.921214919e-01    -1.546045264e+00    1.113716908e-01    3.000000000e+02   -2.395915412e-31  0.000000000e+00   1.000000000e+00   
1.287398138e-05   5.705919725e-05   4.750033185e-01   2.256281526e-01   1.000013973e+00   7.088317466e-01   5.611623865e-02   -5.194059977e-01  -4.934391451e-01    -1.550184793e+00    1.100675812e-01    3.000000000e+02   -2.997625582e-25  0.000000000e+00   1.000000000e+00   
1.303310842e-05   5.776446944e-05   4.750034014e-01   2.256282314e-01   1.000014322e+00   7.088319942e-01   5.611626805e-02   -5.230114429e-01  -4.968644288e-01    -1.560945639e+00    1.097440254e-01    3.000000000e+02   3.795443664e-27   0.000000000e+00   1.000000000e+00   
1.334200208e-05   5.913352723e-05   4.750035641e-01   2.256283859e-01   1.000015007e+00   7.088324795e-01   5.611632568e-02   -5.298942845e-01  -5.034033474e-01    -1.581488258e+00    1.091390870e-01    3.000000000e+02   1.667640610e-26   0.000000000e+00   1.000000000e+00   
1.375386030e-05   6.095893762e-05   4.750037844e-01   2.256285952e-01   1.000015934e+00   7.088331371e-01   5.611640377e-02   -5.388244443e-01  -5.118873003e-01    -1.608141382e+00    1.083800537e-01    3.000000000e+02   5.897015072e-31   0.000000000e+00   1.000000000e+00   
1.405339355e-05   6.228650881e-05   4.750039452e-01   2.256287479e-01   1.000016611e+00   7.088336170e-01   5.611646076e-02   -5.395935179e-01  -5.126180996e-01    -1.610437256e+00    1.078533737e-01    3.000000000e+02   3.221065131e-25   0.000000000e+00   1.000000000e+00   
1.439036846e-05   6.378002640e-05   4.750041282e-01   2.256289218e-01   1.000017382e+00   7.088341633e-01   5.611652563e-02   -5.465739409e-01  -5.192497566e-01    -1.631271221e+00    1.072929595e-01    3.000000000e+02   -3.512669784e-27  0.000000000e+00   1.000000000e+00   
1.480222668e-05   6.560543679e-05   4.750043551e-01   2.256291374e-01   1.000018337e+00   7.088348404e-01   5.611660604e-02   -5.548902438e-01  -5.271505648e-01    -1.656092342e+00    1.066458192e-01    3.000000000e+02   8.610428024e-34   0.000000000e+00   1.000000000e+00   
1.517664324e-05   6.726490078e-05   4.750045643e-01   2.256293361e-01   1.000019218e+00   7.088354647e-01   5.611668017e-02   -5.622544958e-01  -5.341469036e-01    -1.678071988e+00    1.060908033e-01    3.000000000e+02   -1.223764909e-30  0.000000000e+00   1.000000000e+00   
1.553233897e-05   6.884139157e-05   4.750047655e-01   2.256295273e-01   1.000020066e+00   7.088360653e-01   5.611675150e-02   -5.690798923e-01  -5.406313216e-01    -1.698443388e+00    1.055912022e-01    3.000000000e+02   -1.156566855e-23  0.000000000e+00   1.000000000e+00   
1.577570974e-05   6.992004316e-05   4.750049046e-01   2.256296594e-01   1.000020651e+00   7.088364805e-01   5.611680081e-02   -5.736570332e-01  -5.449798087e-01    -1.712104563e+00    1.052639186e-01    3.000000000e+02   -1.018489842e-30  0.000000000e+00   1.000000000e+00   
1.611268464e-05   7.141356075e-05   4.750050990e-01   2.256298441e-01   1.000021470e+00   7.088370607e-01   5.611686970e-02   -5.798768193e-01  -5.508888920e-01    -1.730668496e+00    1.048287578e-01    3.000000000e+02   -7.508295982e-25  0.000000000e+00   1.000000000e+00   
1.641221789e-05   7.274113194e-05   4.750052736e-01   2.256300099e-01   1.000022205e+00   7.088375816e-01   5.611693156e-02   -5.852905812e-01  -5.560322253e-01    -1.746826754e+00    1.044588340e-01    3.000000000e+02   -2.027986104e-26  0.000000000e+00   1.000000000e+00   
1.673047197e-05   7.415167633e-05   4.750054608e-01   2.256301878e-01   1.000022993e+00   7.088381403e-01   5.611699791e-02   -5.909291825e-01  -5.613891772e-01    -1.763656115e+00    1.040819479e-01    3.000000000e+02   -2.688474328e-27  0.000000000e+00   1.000000000e+00   
1.699256357e-05   7.531330113e-05   4.750056163e-01   2.256303355e-01   1.000023648e+00   7.088386044e-01   5.611705302e-02   -5.954857822e-01  -5.657181819e-01    -1.777256084e+00    1.037835143e-01    3.000000000e+02   1.266893293e-27   0.000000000e+00   1.000000000e+00   
1.761035090e-05   7.805141671e-05   4.750059850e-01   2.256306858e-01   1.000025200e+00   7.088397049e-01   5.611718371e-02   -5.820210946e-01  -5.529270066e-01    -1.737071422e+00    1.031017636e-01    3.000000000e+02   -5.524153273e-30  0.000000000e+00   1.000000000e+00   
1.804092994e-05   7.995980030e-05   4.750062367e-01   2.256309249e-01   1.000026260e+00   7.088404561e-01   5.611727292e-02   -5.879453384e-01  -5.585554052e-01    -1.754753558e+00    1.026693566e-01    3.000000000e+02   -1.285150268e-25  0.000000000e+00   1.000000000e+00   
1.832174236e-05   8.120439829e-05   4.750064025e-01   2.256310824e-01   1.000026958e+00   7.088409508e-01   5.611733166e-02   -5.924241907e-01  -5.628105671e-01    -1.768121543e+00    1.024002914e-01    3.000000000e+02   4.321921467e-25   0.000000000e+00   1.000000000e+00   
1.865871727e-05   8.269791588e-05   4.750066030e-01   2.256312729e-01   1.000027802e+00   7.088415494e-01   5.611740274e-02   -5.976916197e-01  -5.678149318e-01    -1.783843218e+00    1.020896847e-01    3.000000000e+02   -2.810647214e-25  0.000000000e+00   1.000000000e+00   
1.903313383e-05   8.435737987e-05   4.750068279e-01   2.256314866e-01   1.000028749e+00   7.088422207e-01   5.611748246e-02   -6.034089356e-01  -5.732467289e-01    -1.800907712e+00    1.017596229e-01    3.000000000e+02   -4.617895065e-27  0.000000000e+00   1.000000000e+00   
1.928586501e-05   8.547751806e-05   4.750069809e-01   2.256316319e-01   1.000029394e+00   7.088426773e-01   5.611753669e-02   -6.071913298e-01  -5.768402408e-01    -1.812197063e+00    1.015448818e-01    3.000000000e+02   6.546961259e-26   0.000000000e+00   1.000000000e+00   
1.965092116e-05   8.709549545e-05   4.750072036e-01   2.256318435e-01   1.000030331e+00   7.088433418e-01   5.611761560e-02   -6.125470364e-01  -5.819285096e-01    -1.828182331e+00    1.012461102e-01    3.000000000e+02   -2.904996708e-26  0.000000000e+00   1.000000000e+00   
1.991301275e-05   8.825712024e-05   4.750073646e-01   2.256319965e-01   1.000031009e+00   7.088438225e-01   5.611767268e-02   -6.163144054e-01  -5.855077630e-01    -1.839426887e+00    1.010393525e-01    3.000000000e+02   -8.627771319e-25  0.000000000e+00   1.000000000e+00   
2.028742932e-05   8.991658423e-05   4.750075964e-01   2.256322166e-01   1.000031985e+00   7.088445142e-01   5.611775482e-02   -6.215858461e-01  -5.905159974e-01    -1.855160719e+00    1.007547327e-01    3.000000000e+02   2.426362304e-25   0.000000000e+00   1.000000000e+00   
2.045591677e-05   9.066334303e-05   4.750077013e-01   2.256323163e-01   1.000032427e+00   7.088448274e-01   5.611779201e-02   -6.239153977e-01  -5.927292378e-01    -1.862113819e+00    1.006306334e-01    3.000000000e+02   1.468326484e-25   0.000000000e+00   1.000000000e+00   
2.086777499e-05   9.248875342e-05   4.750079595e-01   2.256325616e-01   1.000033514e+00   7.088455979e-01   5.611788351e-02   -6.295034782e-01  -5.980383254e-01    -1.878792810e+00    1.003370168e-01    3.000000000e+02   1.225021302e-25   0.000000000e+00   1.000000000e+00   
2.107370410e-05   9.340145861e-05   4.750080895e-01   2.256326850e-01   1.000034061e+00   7.088459858e-01   5.611792957e-02   -6.322400394e-01  -6.006382664e-01    -1.886960765e+00    1.001952520e-01    3.000000000e+02   -6.978433264e-31  0.000000000e+00   1.000000000e+00   
2.163532894e-05   9.589065459e-05   4.750084380e-01   2.256330162e-01   1.000035529e+00   7.088470261e-01   5.611805311e-02   -6.086843472e-01  -5.782604020e-01    -1.816658631e+00    9.980163572e-02    3.000000000e+02   -1.178081207e-25  0.000000000e+00   1.000000000e+00   
2.223439544e-05   9.854579698e-05   4.750088044e-01   2.256333643e-01   1.000037072e+00   7.088481196e-01   5.611818296e-02   -6.107472469e-01  -5.802206391e-01    -1.822816897e+00    9.942643650e-02    3.000000000e+02   -2.183981607e-30  0.000000000e+00   1.000000000e+00   
2.283346194e-05   1.012009394e-04   4.750091712e-01   2.256337127e-01   1.000038616e+00   7.088492142e-01   5.611831295e-02   -6.121478989e-01  -5.815517322e-01    -1.826998650e+00    9.907364519e-02    3.000000000e+02   -1.516164018e-26  0.000000000e+00   1.000000000e+00   
2.317043685e-05   1.026944569e-04   4.750093782e-01   2.256339093e-01   1.000039487e+00   7.088498320e-01   5.611838632e-02   -6.160608049e-01  -5.852693197e-01    -1.838677795e+00    9.888683346e-02    3.000000000e+02   -3.953364707e-30  0.000000000e+00   1.000000000e+00   
2.365717838e-05   1.048517601e-04   4.750096780e-01   2.256341942e-01   1.000040750e+00   7.088507268e-01   5.611849258e-02   -6.161017207e-01  -5.853085599e-01    -1.838801072e+00    9.862400153e-02    3.000000000e+02   2.110546824e-25   0.000000000e+00   1.000000000e+00   
