t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   4.750000000e-01   2.256250000e-01   1.000000000e+00   2.700000000e+03   9.523897250e-01   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.087991905e-09   2.698278961e-08   4.749999791e-01   2.256249802e-01   9.999999121e-01   2.695178450e+03   1.034476375e+00   2.177845096e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.299828592e-08   2.792167797e-07   4.749998084e-01   2.256248180e-01   9.999991934e-01   2.653255221e+03   1.747491750e+00   3.678931484e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.990354956e-07   8.821517808e-07   4.749995046e-01   2.256245294e-01   9.999979141e-01   2.571221289e+03   1.747491750e+00   3.678933837e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
4.751519018e-07   2.105936407e-06   4.749990735e-01   2.256241199e-01   9.999960991e-01   2.453074031e+03   1.874257850e+00   3.945813696e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.716794367e-07   4.306612462e-06   4.749985382e-01   2.256236113e-01   9.999938451e-01   2.319856161e+03   1.599355875e+00   3.367075362e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.827838021e-06   8.101221146e-06   4.749983102e-01   2.256233947e-01   9.999928849e-01   2.186740912e+03   1.582314300e+00   3.331199851e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.502238492e-06   1.109025370e-05   4.749987649e-01   2.256238266e-01   9.999947994e-01   2.119149985e+03   1.549110850e+00   3.261294480e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.885101366e-06   1.721928583e-05   4.749994138e-01   2.256244431e-01   9.999975317e-01   2.025949870e+03   1.532938050e+00   3.227241983e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.554137580e-06   2.461667626e-05   4.750000427e-01   2.256250405e-01   1.000000180e+00   1.952947625e+03   1.524991775e+00   3.210508712e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
