t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
1.022801704e-05   2.879379601e-05   5.960021983e-01   3.552186203e-01   1.000007377e+00   1.115952208e+00   1.108516615e-01   -3.068644602e-01  -3.657837857e-01    -1.149143654e+00    1.081774365e-01    3.010663470e+02   2.909916205e-04   7.064897881e-02   1.000000000e+00   1.124791784e-01   -9.937291902e+04  -1.198969649e+05    2.190601760e+05     -6.105647391e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.235787128e-02   2.229804937e-01   4.537592547e-01   1.663745489e-06   1.930153231e-08   2.309006972e-01   1.124791784e-01   1.886162649e-01   5.279057953e-01   1.231939650e-06   9.192115872e-09   1.709975202e-01   
1.130240892e-05   3.181841168e-05   5.960025335e-01   3.552190199e-01   1.000008502e+00   1.115953463e+00   1.108518486e-01   -3.173875958e-01  -3.783276224e-01    -1.188551279e+00    1.044103923e-01    3.012121369e+02   2.914643075e-04   6.821030806e-02   1.000000000e+00   1.133919072e-01   -9.589040478e+04  -1.316027065e+05    2.272769642e+05     -6.945463621e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.312301172e-02   2.228100448e-01   4.533365523e-01   4.041098748e-06   4.870649196e-08   2.307263013e-01   1.133919072e-01   1.884403316e-01   5.273251650e-01   2.991774327e-06   2.319195604e-08   1.708395812e-01   
1.230965131e-05   3.465398888e-05   5.960028586e-01   3.552194074e-01   1.000009593e+00   1.115954681e+00   1.108520300e-01   -3.272427319e-01  -3.900752073e-01    -1.225457406e+00    1.014067734e-01    3.013454598e+02   2.925734612e-04   6.626716130e-02   1.000000000e+00   1.142320964e-01   -9.311227490e+04  -1.419087878e+05    2.347988721e+05     -7.714532281e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.382750463e-02   2.226535284e-01   4.529456497e-01   8.295266506e-06   1.043305897e-07   2.305649177e-01   1.142320964e-01   1.882788814e-01   5.267891077e-01   6.140343197e-06   4.967011027e-08   1.706937244e-01   
1.304829573e-05   3.673341215e-05   5.960031041e-01   3.552197001e-01   1.000010416e+00   1.115955600e+00   1.108521670e-01   -3.364621247e-01  -4.010649415e-01    -1.259982674e+00    9.947040050e-02    3.014416336e+02   2.947195758e-04   6.501528014e-02   1.000000000e+00   1.148414737e-01   -9.132040626e+04  -1.491279870e+05    2.402203660e+05     -8.269941579e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.433854839e-02   2.225402465e-01   4.526607849e-01   1.326003563e-05   1.726037777e-07   2.304469876e-01   1.148414737e-01   1.881621120e-01   5.263991177e-01   9.814283070e-06   8.216471357e-08   1.705874001e-01   
1.371979066e-05   3.862379694e-05   5.960033329e-01   3.552199728e-01   1.000011184e+00   1.115956457e+00   1.108522946e-01   -3.440089884e-01  -4.100610072e-01    -1.288244648e+00    9.787273725e-02    3.015281163e+02   2.964610260e-04   6.398296623e-02   1.000000000e+00   1.153918278e-01   -8.984136130e+04  -1.554788687e+05    2.450874805e+05     -8.769838071e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.480014486e-02   2.224381229e-01   4.524023181e-01   1.954853984e-05   2.629330229e-07   2.303396027e-01   1.153918278e-01   1.880569204e-01   5.260458346e-01   1.446720704e-05   1.251516752e-07   1.704908249e-01   
1.408911286e-05   3.966350858e-05   5.960034611e-01   3.552201256e-01   1.000011614e+00   1.115956937e+00   1.108523661e-01   -3.501150077e-01  -4.173395127e-01    -1.311110747e+00    9.705535844e-02    3.015753401e+02   2.984725338e-04   6.345508463e-02   1.000000000e+00   1.156933078e-01   -8.908440280e+04  -1.588927782e+05    2.477404613e+05     -9.042987901e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.505302092e-02   2.223822645e-01   4.522601636e-01   2.387889854e-05   3.272123771e-07   2.302803449e-01   1.156933078e-01   1.879994200e-01   5.258517974e-01   1.767099182e-05   1.557390490e-07   1.704376480e-01   
1.465988355e-05   4.127033566e-05   5.960036625e-01   3.552203658e-01   1.000012290e+00   1.115957691e+00   1.108524786e-01   -3.545056610e-01  -4.225733447e-01    -1.327553315e+00    9.586441043e-02    3.016478919e+02   2.991550765e-04   6.268626223e-02   1.000000000e+00   1.161578148e-01   -8.798116673e+04  -1.640661678e+05    2.518080203e+05     -9.462889131e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.544265850e-02   2.222963335e-01   4.520402188e-01   3.200265298e-05   4.517435505e-07   2.301883348e-01   1.161578148e-01   1.879110208e-01   5.255520022e-01   2.368079123e-05   2.149925187e-07   1.703552664e-01   
1.526422898e-05   4.297168197e-05   5.960038790e-01   3.552206238e-01   1.000013017e+00   1.115958502e+00   1.108525993e-01   -3.614209085e-01  -4.308165268e-01    -1.353450036e+00    9.469668704e-02    3.017241930e+02   3.011273433e-04   6.193289997e-02   1.000000000e+00   1.166480743e-01   -8.689897596e+04  -1.694175069e+05    2.560728367e+05     -9.904816977e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.585391306e-02   2.222058359e-01   4.518067030e-01   4.275448893e-05   6.233280053e-07   2.300901702e-01   1.166480743e-01   1.878180099e-01   5.252343363e-01   3.163397503e-05   2.966264318e-07   1.702676489e-01   
1.586857442e-05   4.467302829e-05   5.960040994e-01   3.552208866e-01   1.000013757e+00   1.115959328e+00   1.108527223e-01   -3.681635094e-01  -4.388539217e-01    -1.378700256e+00    9.361392082e-02    3.018000068e+02   3.031214937e-04   6.123481320e-02   1.000000000e+00   1.171370157e-01   -8.589505982e+04  -1.746476436e+05    2.602948267e+05     -1.034425424e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.626406732e-02   2.221158169e-01   4.515721821e-01   5.604512379e-05   8.445289038e-07   2.299910441e-01   1.171370157e-01   1.877255910e-01   5.249160367e-01   4.146408649e-05   4.018555277e-07   1.701794907e-01   
1.620432188e-05   4.561822069e-05   5.960042239e-01   3.552210349e-01   1.000014174e+00   1.115959794e+00   1.108527918e-01   -3.729792495e-01  -4.445944162e-01    -1.396734552e+00    9.304665624e-02    3.018419300e+02   3.048068247e-04   6.086929210e-02   1.000000000e+00   1.174081531e-01   -8.536890131e+04  -1.775039634e+05    2.626219013e+05     -1.058739459e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.649151258e-02   2.220660125e-01   4.514413422e-01   6.464475228e-05   9.923539989e-07   2.299354956e-01   1.174081531e-01   1.876745066e-01   5.247388065e-01   4.782409260e-05   4.721731062e-07   1.701302375e-01   
