t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   5.960000000e-01   3.552160000e-01   1.000000000e+00   1.115943976e+00   1.108504350e-01   1.180370595e-01   1.407001749e-01     4.420226359e-01     4.638053399e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
8.247079920e-09   2.321708459e-08   5.959999774e-01   3.552159731e-01   9.999999242e-01   1.115943891e+00   1.108504224e-01   2.706461007e+00   3.226101398e+00     1.013509645e+01     7.702545735e-01    3.000000000e+02   6.916465562e-23   0.000000000e+00   1.000000000e+00   
8.964520191e-08   2.523681419e-07   5.959997802e-01   3.552157381e-01   9.999992626e-01   1.115943153e+00   1.108503123e-01   2.183703535e+00   2.602973654e+00     8.177482910e+00     6.198535940e-01    3.000000000e+02   -2.328227485e-21  0.000000000e+00   1.000000000e+00   
2.842661963e-07   8.002629282e-07   5.959994234e-01   3.552153127e-01   9.999980650e-01   1.115941817e+00   1.108501132e-01   1.574674459e+00   1.877010139e+00     5.896801263e+00     4.560481886e-01    3.000000000e+02   -1.145448406e-22  0.000000000e+00   1.000000000e+00   
6.494376108e-07   1.828289297e-06   5.959989443e-01   3.552147416e-01   9.999964573e-01   1.115940023e+00   1.108498459e-01   1.119465496e+00   1.334400508e+00     4.192142832e+00     3.384496977e-01    3.000000000e+02   -4.180055135e-21  0.000000000e+00   1.000000000e+00   
1.282840487e-06   3.611437792e-06   5.959983526e-01   3.552140363e-01   9.999944718e-01   1.115937807e+00   1.108495157e-01   7.949870201e-01   9.476219086e-01     2.977042026e+00     2.566125297e-01    3.000000000e+02   -1.415790018e-21  0.000000000e+00   1.000000000e+00   
2.273919015e-06   6.401510671e-06   5.959991386e-01   3.552149732e-01   9.999971095e-01   1.115940750e+00   1.108499543e-01   -8.869194072e-01  -1.057206405e+00    -3.321311877e+00    2.019133164e-01    3.000000000e+02   5.841529084e-23   0.000000000e+00   1.000000000e+00   
2.893877903e-06   8.146811807e-06   5.959996511e-01   3.552155841e-01   9.999988291e-01   1.115942669e+00   1.108502403e-01   -6.260428057e-01  -7.462425876e-01    -2.344390231e+00    1.817242416e-01    3.000000000e+02   2.411255486e-27   0.000000000e+00   1.000000000e+00   
4.940579054e-06   1.390866136e-05   5.960005754e-01   3.552166859e-01   1.000001931e+00   1.115946131e+00   1.108507560e-01   -3.547121707e-01  -4.228173157e-01    -1.328319773e+00    1.443733040e-01    3.000000000e+02   -4.390128375e-25  0.000000000e+00   1.000000000e+00   
8.347831253e-06   2.350071858e-05   5.960016333e-01   3.552179469e-01   1.000005481e+00   1.115950092e+00   1.108513463e-01   -2.942768187e-01  -3.507789292e-01    -1.102004507e+00    1.167167983e-01    3.000000000e+02   -2.531502694e-28  0.000000000e+00   1.000000000e+00   
1.022801704e-05   2.879379601e-05   5.960021983e-01   3.552186203e-01   1.000007377e+00   1.115952208e+00   1.108516615e-01   -3.068644602e-01  -3.657837857e-01    -1.149143654e+00    1.081774365e-01    3.000000000e+02   4.644257069e-31   0.000000000e+00   1.000000000e+00   
1.130240892e-05   3.181841168e-05   5.960025335e-01   3.552190199e-01   1.000008502e+00   1.115953463e+00   1.108518486e-01   -3.173875958e-01  -3.783276224e-01    -1.188551279e+00    1.044103923e-01    3.000000000e+02   1.308267353e-33   0.000000000e+00   1.000000000e+00   
1.230965131e-05   3.465398888e-05   5.960028586e-01   3.552194074e-01   1.000009593e+00   1.115954681e+00   1.108520300e-01   -3.272427319e-01  -3.900752073e-01    -1.225457406e+00    1.014067734e-01    3.000000000e+02   1.273381554e-26   0.000000000e+00   1.000000000e+00   
1.304829573e-05   3.673341215e-05   5.960031041e-01   3.552197001e-01   1.000010416e+00   1.115955600e+00   1.108521670e-01   -3.364621247e-01  -4.010649415e-01    -1.259982674e+00    9.947040050e-02    3.000000000e+02   -6.406744527e-32  0.000000000e+00   1.000000000e+00   
1.371979066e-05   3.862379694e-05   5.960033329e-01   3.552199728e-01   1.000011184e+00   1.115956457e+00   1.108522946e-01   -3.440089884e-01  -4.100610072e-01    -1.288244648e+00    9.787273725e-02    3.000000000e+02   -2.013023126e-27  0.000000000e+00   1.000000000e+00   
1.408911286e-05   3.966350858e-05   5.960034611e-01   3.552201256e-01   1.000011614e+00   1.115956937e+00   1.108523661e-01   -3.501150077e-01  -4.173395127e-01    -1.311110747e+00    9.705535844e-02    3.000000000e+02   -3.384271262e-29  0.000000000e+00   1.000000000e+00   
1.465988355e-05   4.127033566e-05   5.960036625e-01   3.552203658e-01   1.000012290e+00   1.115957691e+00   1.108524786e-01   -3.545056610e-01  -4.225733447e-01    -1.327553315e+00    9.586441043e-02    3.000000000e+02   7.681702593e-27   0.000000000e+00   1.000000000e+00   
1.526422898e-05   4.297168197e-05   5.960038790e-01   3.552206238e-01   1.000013017e+00   1.115958502e+00   1.108525993e-01   -3.614209085e-01  -4.308165268e-01    -1.353450036e+00    9.469668704e-02    3.000000000e+02   3.397032905e-30   0.000000000e+00   1.000000000e+00   
1.586857442e-05   4.467302829e-05   5.960040994e-01   3.552208866e-01   1.000013757e+00   1.115959328e+00   1.108527223e-01   -3.681635094e-01  -4.388539217e-01    -1.378700256e+00    9.361392082e-02    3.000000000e+02   2.369629687e-27   0.000000000e+00   1.000000000e+00   
1.620432188e-05   4.561822069e-05   5.960042239e-01   3.552210349e-01   1.000014174e+00   1.115959794e+00   1.108527918e-01   -3.729792495e-01  -4.445944162e-01    -1.396734552e+00    9.304665624e-02    3.000000000e+02   -2.451133754e-27  0.000000000e+00   1.000000000e+00   
1.687581680e-05   4.750860548e-05   5.960044760e-01   3.552213355e-01   1.000015020e+00   1.115960738e+00   1.108529325e-01   -3.783538267e-01  -4.510011484e-01    -1.416861895e+00    9.197513341e-02    3.000000000e+02   -5.627919135e-31  0.000000000e+00   1.000000000e+00   
1.748016224e-05   4.920995180e-05   5.960047066e-01   3.552216102e-01   1.000015794e+00   1.115961601e+00   1.108530611e-01   -3.846040774e-01  -4.584516806e-01    -1.440268432e+00    9.108105951e-02    3.000000000e+02   -5.784298999e-28  0.000000000e+00   1.000000000e+00   
1.808450767e-05   5.091129811e-05   5.960049407e-01   3.552218893e-01   1.000016580e+00   1.115962478e+00   1.108531917e-01   -3.906404847e-01  -4.656473178e-01    -1.462874193e+00    9.024611918e-02    3.000000000e+02   -8.496104155e-28  0.000000000e+00   1.000000000e+00   
1.831953089e-05   5.157293279e-05   5.960050326e-01   3.552219989e-01   1.000016888e+00   1.115962822e+00   1.108532430e-01   -3.922886683e-01  -4.676120411e-01    -1.469046553e+00    8.993587314e-02    3.000000000e+02   -1.457012933e-26  0.000000000e+00   1.000000000e+00   
1.897423845e-05   5.341605797e-05   5.960052918e-01   3.552223078e-01   1.000017758e+00   1.115963793e+00   1.108533876e-01   -3.981472696e-01  -4.745957592e-01    -1.490986550e+00    8.911301302e-02    3.000000000e+02   7.696308624e-32   0.000000000e+00   1.000000000e+00   
1.944428489e-05   5.473932732e-05   5.960054800e-01   3.552225322e-01   1.000018389e+00   1.115964497e+00   1.108534927e-01   -4.020459631e-01  -4.792431944e-01    -1.505586899e+00    8.855680296e-02    3.000000000e+02   7.337746595e-27   0.000000000e+00   1.000000000e+00   
1.962894600e-05   5.525918314e-05   5.960055545e-01   3.552226209e-01   1.000018639e+00   1.115964776e+00   1.108535342e-01   -4.042314020e-01  -4.818483217e-01    -1.513771148e+00    8.834630094e-02    3.000000000e+02   -9.995055575e-27  0.000000000e+00   1.000000000e+00   
2.019971669e-05   5.686601022e-05   5.960057866e-01   3.552228977e-01   1.000019418e+00   1.115965646e+00   1.108536638e-01   -4.088032574e-01  -4.872982140e-01    -1.530892489e+00    8.771916717e-02    3.000000000e+02   1.034598937e-25   0.000000000e+00   1.000000000e+00   
2.078727474e-05   5.852009691e-05   5.960060282e-01   3.552231857e-01   1.000020229e+00   1.115966550e+00   1.108537986e-01   -4.132009429e-01  -4.925405057e-01    -1.547361634e+00    8.710965978e-02    3.000000000e+02   -1.131443698e-28  0.000000000e+00   1.000000000e+00   
2.108944746e-05   5.937077007e-05   5.960061537e-01   3.552233352e-01   1.000020650e+00   1.115967020e+00   1.108538686e-01   -4.165396047e-01  -4.965203353e-01    -1.559864638e+00    8.681110212e-02    3.000000000e+02   2.064418236e-31   0.000000000e+00   1.000000000e+00   
2.182809188e-05   6.145019334e-05   5.960064629e-01   3.552237038e-01   1.000021688e+00   1.115968178e+00   1.108540411e-01   -4.214509542e-01  -5.023749850e-01    -1.578257562e+00    8.611454105e-02    3.000000000e+02   1.901031316e-25   0.000000000e+00   1.000000000e+00   
2.218062671e-05   6.244264536e-05   5.960066118e-01   3.552238813e-01   1.000022187e+00   1.115968736e+00   1.108541242e-01   -4.234864695e-01  -5.048014716e-01    -1.585880595e+00    8.579890353e-02    3.000000000e+02   1.079402792e-26   0.000000000e+00   1.000000000e+00   
2.278497215e-05   6.414399168e-05   5.960068693e-01   3.552241882e-01   1.000023051e+00   1.115969700e+00   1.108542679e-01   -4.274487307e-01  -5.095247596e-01    -1.600719241e+00    8.528207012e-02    3.000000000e+02   -2.891817130e-26  0.000000000e+00   1.000000000e+00   
2.325501860e-05   6.546726103e-05   5.960070710e-01   3.552244287e-01   1.000023728e+00   1.115970456e+00   1.108543804e-01   -4.302288928e-01  -5.128389245e-01    -1.611130998e+00    8.489915664e-02    3.000000000e+02   -4.918880537e-26  0.000000000e+00   1.000000000e+00   
2.362434080e-05   6.650697267e-05   5.960072306e-01   3.552246190e-01   1.000024264e+00   1.115971053e+00   1.108544695e-01   -4.338659544e-01  -5.171744919e-01    -1.624751584e+00    8.461061650e-02    3.000000000e+02   -4.857252639e-26  0.000000000e+00   1.000000000e+00   
2.429583573e-05   6.839735747e-05   5.960075233e-01   3.552249679e-01   1.000025246e+00   1.115972149e+00   1.108546328e-01   -4.369618536e-01  -5.208651043e-01    -1.636345985e+00    8.410700176e-02    3.000000000e+02   6.451377415e-31   0.000000000e+00   1.000000000e+00   
2.476588218e-05   6.972062682e-05   5.960077293e-01   3.552252134e-01   1.000025937e+00   1.115972921e+00   1.108547477e-01   -4.390918753e-01  -5.234043031e-01    -1.644323114e+00    8.377181409e-02    3.000000000e+02   -1.942569888e-30  0.000000000e+00   1.000000000e+00   
